AlphA. deg.	Ni Ka XRF, A.u. curve 2	Simulated fitting curve 3	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	Simulated fitting curve 5
0,024	0,00828	0,01744	0,99763	0,024	0,03906	0,02125
0,025	0,00894	0,01823	0,99758	0,025	0,03348	0,02221
0,026	0,0096	0,01939	0,99752	0,026	0,0279	0,02361
0,027	0,01026	0,02082	0,99743	0,027	0,02232	0,02534
0,028	0,01092	0,02237	0,99734	0,028	0,01674	0,02721
0,029	0,01158	0,02399	0,99725	0,029	0,01116	0,02918
0,03	2,08478E-10	0,02568	0,99715	0,03	0,00558	0,03121
0,031	0,0137	0,02741	0,99705	0,031	4,67982E-10	0,03331
0,032	0,01093	0,02921	0,99695	0,032	0,00923	0,03548
0,033	0,01015	0,03106	0,99686	0,033	0,01791	0,03771
0,034	0,02045	0,03297	0,99676	0,034	0,02973	0,04002
0,035	0,01586	0,03494	0,99666	0,035	0,0108	0,04239
0,036	0,02331	0,03696	0,99656	0,036	0,02016	0,04483
0,037	0,02596	0,03904	0,99646	0,037	0,00868	0,04733
0,038	0,01759	0,04118	0,99636	0,038	0,03228	0,0499
0,039	0,0375	0,04338	0,99626	0,039	0,05699	0,05255
0,04	0,03082	0,04563	0,99616	0,04	0,0198	0,05525
0,041	0,04186	0,04794	0,99606	0,041	0,07145	0,05803
0,042	0,02872	0,05031	0,99596	0,042	0,07007	0,06087
0,043	0,02437	0,05273	0,99586	0,043	0,06481	0,06378
0,044	0,04421	0,05522	0,99575	0,044	0,09116	0,06676
0,045	0,03984	0,05776	0,99565	0,045	0,065	0,0698
0,046	0,03804	0,06036	0,99555	0,046	0,08363	0,07291
0,047	0,05091	0,06301	0,99544	0,047	0,10029	0,07609
0,048	0,05271	0,06572	0,99534	0,048	0,10005	0,07933
0,049	0,05347	0,06849	0,99523	0,049	0,07609	0,08264
0,05	0,06079	0,07132	0,99513	0,05	0,12596	0,08601
0,051	0,05806	0,07421	0,99502	0,051	0,09038	0,08945
0,052	0,0645	0,07715	0,99492	0,052	0,10975	0,09296
0,053	0,06376	0,08015	0,99481	0,053	0,08243	0,09653
0,054	0,08782	0,08321	0,9947	0,054	0,11321	0,10018
0,055	0,06708	0,08633	0,9946	0,055	0,0982	0,10387
0,056	0,06598	0,0895	0,99449	0,056	0,10017	0,10765
0,057	0,07888	0,09273	0,99438	0,057	0,15218	0,11148
0,058	0,07407	0,09603	0,99427	0,058	0,11781	0,11539
0,059	0,09724	0,09937	0,99416	0,059	0,15081	0,11935
0,06	0,10033	0,10278	0,99405	0,06	0,16205	0,12338
0,061	0,0979	0,10624	0,99394	0,061	0,12106	0,12748
0,062	0,08764	0,10977	0,99382	0,062	0,18939	0,13164
0,063	0,10792	0,11335	0,99371	0,063	0,16015	0,13586
0,064	0,10701	0,11699	0,9936	0,064	0,16592	0,14015
0,065	0,11171	0,12069	0,99348	0,065	0,18427	0,14451
0,066	0,1216	0,12444	0,99337	0,066	0,14876	0,14893
0,067	0,1182	0,12826	0,99325	0,067	0,17282	0,15341
0,068	0,13754	0,13213	0,99314	0,068	0,18667	0,15795
0,069	0,12032	0,13606	0,99302	0,069	0,16461	0,16256
0,07	0,12972	0,14005	0,9929	0,07	0,20829	0,16723
0,071	0,12936	0,1441	0,99278	0,071	0,21316	0,17197
0,072	0,14805	0,1482	0,99266	0,072	0,16721	0,17676
0,073	0,15593	0,15237	0,99254	0,073	0,19669	0,18163
0,074	0,15579	0,15659	0,99242	0,074	0,21424	0,18655
0,075	0,14661	0,16087	0,99229	0,075	0,23636	0,19153
0,076	0,14072	0,16522	0,99217	0,076	0,23845	0,19658
0,077	0,17209	0,16962	0,99205	0,077	0,21842	0,20169
0,078	0,16339	0,17408	0,99192	0,078	0,23035	0,20686
0,079	0,16399	0,1786	0,99179	0,079	0,22465	0,21209
0,08	0,18055	0,18317	0,99166	0,08	0,25428	0,2174
0,081	0,17181	0,18782	0,99153	0,081	0,32706	0,22275
0,082	0,19855	0,1925	0,9914	0,082	0,24624	0,22817
0,083	0,19559	0,19726	0,99127	0,083	0,24075	0,23364
0,084	0,20983	0,20208	0,99114	0,084	0,2713	0,23918
0,085	0,20305	0,20695	0,99101	0,085	0,26691	0,24478
0,086	0,22041	0,21189	0,99087	0,086	0,29424	0,25044
0,087	0,22956	0,21687	0,99073	0,087	0,27766	0,25616
0,088	0,22919	0,22193	0,9906	0,088	0,26355	0,26194
0,089	0,21885	0,22704	0,99046	0,089	0,30197	0,26778
0,09	0,21534	0,23221	0,99032	0,09	0,30066	0,27367
0,091	0,24339	0,23744	0,99017	0,091	0,31037	0,27963
0,092	0,24754	0,24273	0,99003	0,092	0,32627	0,28565
0,093	0,24207	0,24808	0,98988	0,093	0,32065	0,29172
0,094	0,2584	0,25349	0,98974	0,094	0,32365	0,29784
