Qz, A-1	Reflectivity data curve 1	Simulated fitting curve 1	Qz, A-1	Reflectivity data curve 1	Simulated fitting curve 2
0,00498	1,14982E6	906882,21234	0,00498	1,15552E6	1,08868E6
0,0057	1,30948E6	987323,97952	0,0057	1,30883E6	1,18529E6
0,00641	1,4739E6	1,10177E6	0,00641	1,47008E6	1,32274E6
0,00712	1,64025E6	1,22321E6	0,00712	1,63815E6	1,46862E6
0,00783	1,80975E6	1,34487E6	0,00783	1,80425E6	1,61478E6
0,00854	1,97437E6	1,4664E6	0,00854	1,96758E6	1,76079E6
0,00925	2,14436E6	1,58778E6	0,00925	2,13321E6	1,90664E6
0,00997	2,291E6	1,70902E6	0,00997	2,2992E6	2,05234E6
0,01068	2,43935E6	1,83011E6	0,01068	2,46237E6	2,19787E6
0,01139	2,60707E6	1,95103E6	0,01139	2,61026E6	2,34323E6
0,0121	2,77272E6	2,07178E6	0,0121	2,7704E6	2,4884E6
0,01281	2,93775E6	2,19235E6	0,01281	2,91716E6	2,63337E6
0,01353	3,10458E6	2,31273E6	0,01353	3,07949E6	2,77813E6
0,01424	3,25216E6	2,4329E6	0,01424	3,24339E6	2,92266E6
0,01495	3,32803E6	2,55285E6	0,01495	3,40319E6	3,06694E6
0,01566	3,42723E6	2,67256E6	0,01566	3,55891E6	3,21096E6
0,01637	3,49913E6	2,79201E6	0,01637	3,71956E6	3,35469E6
0,01709	3,60948E6	2,91118E6	0,01709	3,87658E6	3,49811E6
0,0178	3,6654E6	3,03004E6	0,0178	4,03547E6	3,64118E6
0,01851	3,72351E6	3,14857E6	0,01851	4,17269E6	3,78386E6
0,01922	3,79877E6	3,26671E6	0,01922	4,25754E6	3,92612E6
0,01993	3,86829E6	3,38445E6	0,01993	4,37813E6	4,06791E6
0,02065	3,98716E6	3,50171E6	0,02065	4,51608E6	4,20916E6
0,02136	4,04321E6	3,61844E6	0,02136	4,59792E6	4,3498E6
0,02207	4,07745E6	3,73458E6	0,02207	4,70636E6	4,48974E6
0,02278	4,10544E6	3,85001E6	0,02278	4,80229E6	4,62888E6
0,02349	4,06958E6	3,96465E6	0,02349	4,92931E6	4,76708E6
0,0242	4,12821E6	4,07829E6	0,0242	5,02509E6	4,90411E6
0,02492	4,1616E6	4,18938E6	0,02492	5,12021E6	5,03811E6
0,02563	4,20118E6	4,2862E6	0,02563	5,18548E6	5,15498E6
0,02634	4,25928E6	4,34277E6	0,02634	5,29707E6	5,22344E6
0,02705	4,22104E6	4,35235E6	0,02705	5,37509E6	5,23539E6
0,02776	4,28632E6	4,34119E6	0,02776	5,46094E6	5,22238E6
0,02848	4,32874E6	4,32502E6	0,02848	5,49494E6	5,20331E6
0,02919	4,35665E6	4,30481E6	0,02919	5,43843E6	5,17931E6
0,0299	4,21153E6	4,27848E6	0,0299	5,16585E6	5,14781E6
0,03061	3,96746E6	4,24165E6	0,03061	4,64502E6	5,10332E6
0,03132	3,60863E6	4,18208E6	0,03132	3,74877E6	5,03043E6
0,03204	2,99149E6	4,04446E6	0,03204	2,65228E6	4,85899E6
0,03275	2,14024E6	3,61896E6	0,03275	1,90037E6	4,32712E6
0,03346	1,63794E6	2,76245E6	0,03346	1,43608E6	3,27213E6
0,03417	1,29785E6	1,87984E6	0,03417	1,1378E6	2,21244E6
0,03488	1,06283E6	1,31245E6	0,03488	929309,9375	1,54127E6
0,0356	892323,25	991666,72333	0,0356	776559,6875	1,16185E6
0,03631	759869	787788,64229	0,03631	659326,625	920434,33687
0,03702	656187,625	644539,14691	0,03702	567587	750882,53949
0,03773	572189,0625	538037,86017	0,03773	493655,1875	624954,05021
0,03844	502486,46875	455902,89733	0,03844	431712,53125	527959,95029
0,03915	445151,65625	390866,87333	0,03915	381611,40625	451266,39424
0,03987	397003,5625	338321,01119	0,03987	338934,40625	389394,64083
0,04058	354834,5625	295179,25333	0,04058	301726,65625	338675,40679
0,04129	319293,6875	259288,9894	0,04129	270594,375	296549,44304
0,042	287567,28125	229099,78237	0,042	243512,5625	261173,86493
0,04271	260581,2969	203465,53763	0,04271	219271,03125	231186,87936
0,04343	236664,9844	181520,61554	0,04343	198634,03125	205560,37968
0,04414	216283,2969	162599,20333	0,04414	180917,39065	183503,98508
0,04485	196779,9219	146181,13645	0,04485	164253,07815	164400,55053
0,04556	180112,75	131854,49543	0,04556	149672,375	147761,64394
0,04627	165375,4219	119289,17845	0,04627	137042,34375	133196,09013
0,04699	152214,9219	108217,84917	0,04699	125663,4922	120387,29615
0,0477	140173,4375	98421,95654	0,0477	115003,47655	109076,61605
0,04841	128959,6328	89721,3148	0,04841	105910,60155	99050,95453
0,04912	118710,0625	81966,22771	0,04912	97142,4453	90133,39992
0,04983	110220,71875	75031,46088	0,04983	89529,9453	82176,05704
0,05055	101861,0703	68811,57573	0,05055	82918,6328	75054,50099
0,05126	94799,3594	63217,28031	0,05126	76224,58595	68663,44094
0,05197	87771,46875	58172,54834	0,05197	70569,125	62913,29795
0,05268	81516,3594	53612,32504	0,05268	65408,29295	57727,48084
0,05339	76113,21095	49480,68578	0,05339	60243,6992	53040,2006
0,0541	70686,64845	45729,34716	0,0541	56050,97655	48794,7037
0,05482	65970,5703	42316,45496	0,05482	52003,3125	44941,83467
0,05553	61384,02735	39205,59123	0,05553	47960,1758	41438,85887
0,05624	57398,9492	36364,95598	0,05624	44901,71485	38248,49283
0,05695	53472,6367	33766,68921	0,05695	41533,4258	35338,10109
0,05766	49773,57815	31386,30611	0,05766	38380,77345	32679,02761
0,05838	46599,2969	29202,22445	0,05838	36102,5742	30246,03632
0,05909	43361,85155	27195,36714	0,05909	33504,8203	28016,84105
0,0598	40854,10155	25348,82671	0,0598	31185,8867	25971,70877
0,06051	38459,78125	23647,58074	0,06051	28912,9492	24093,12333
0,06122	35760,47655	22078,24973	0,06122	27212,4668	22365,4994
0,06194	33656,5586	20628,89025	0,06194	25129,81835	20774,93827
0,06265	31653,7051	19288,81761	0,06265	23464,1992	19309,01857
0,06336	29562,2578	18048,45337	0,06336	21754,4824	17956,61642
0,06407	27718,41015	16899,1938	0,06407	20512,35155	16707,75034
0,06478	26018,6621	15833,29601	0,06478	18955,1074	15553,44709
0,06549	24589,7383	14843,77919	0,06549	17881,83595	14485,62533
0,06621	23008,1543	13924,33863	0,06621	16707,86135	13496,99447
0,06692	21574,8242	13069,27073	0,06692	15573,22365	12580,96643
0,06763	20245,4219	12273,40744	0,06763	14425,13865	11731,57851
0,06834	18925,93945	11532,05873	0,06834	13372,17385	10943,42584
0,06905	18083,07225	10840,96207	0,06905	12394,4326	10211,602
0,06977	16754,625	10196,23792	0,06977	11847,7207	9531,64684
0,07048	15912,32325	9594,3505	0,07048	10861,14065	8899,50037
0,07119	15010,8076	9032,07301	0,07119	10153,80175	8311,46203
0,0719	14120,292	8506,45691	0,0719	9626,7002	7764,15468
0,07261	13202,67675	8014,80455	0,07261	9022,7158	7254,49256
0,07333	12358,29395	7554,64491	0,07333	8460,10645	6779,6529
0,07404	11887,05955	7123,71195	0,07404	7836,66065	6337,05053
0,07475	10954,53225	6719,92528	0,07475	7400,4331	5924,31537
0,07546	10480,708	6341,37287	0,07546	6879,97265	5539,27222
0,07617	9864,7539	5986,29564	0,07617	6486,7295	5179,92269
0,07688	9193,541	5653,07353	0,07688	5980,5161	4844,42905
0,0776	8572,60255	5340,21312	0,0776	5569,8789	4531,09967
0,07831	8087,8789	5046,33634	0,07831	5193,04785	4238,37604
0,07902	7711,64695	4770,17046	0,07902	4918,6714	3964,82093
0,07973	7227,76905	4510,53894	0,07973	4445,5454	3709,10786
0,08044	6708,3921	4266,35325	0,08044	4141,8843	3470,01155
0,08116	6448,80275	4036,60541	0,08116	3962,33445	3246,39924
0,08187	6027,41405	3820,36128	0,08187	3649,73	3037,22292
0,08258	5714,8657	3616,75447	0,08258	3416,20045	2841,51223
0,08329	5399,55125	3424,98078	0,08329	3116,6699	2658,36807
0,084	5024,5503	3244,29321	0,084	2975,2422	2486,95673
0,08472	4707,3672	3073,99734	0,08472	2795,25025	2326,50465
0,08543	4530,1289	2913,44722	0,08543	2639,8843	2176,29355
0,08614	4256,04055	2762,04154	0,08614	2335,468	2035,65609
0,08685	3931,9817	2619,22017	0,08685	2197,15525	1903,97181
0,08756	3738,6521	2484,461	0,08756	2110,0564	1780,66355
0,08827	3574,29615	2357,27706	0,08827	1943,59315	1665,19404
0,08899	3195,1753	2237,21386	0,08899	1808,77855	1557,06293
0,0897	3062,2981	2123,84699	0,0897	1701,5747	1455,80391
0,09041	2923,41555	2016,77986	0,09041	1588,74965	1360,98223
0,09112	2769,62915	1915,64167	0,09112	1499,4176	1272,19232
0,09183	2602,71165	1820,08558	0,09183	1373,4861	1189,05561
0,09255	2441,9409	1729,78695	0,09255	1294,80895	1111,21864
0,09326	2306,73755	1644,44174	0,09326	1180,2035	1038,35114
0,09397	2142,19065	1563,7651	0,09397	1100,69825	970,14443
0,09468	2010,87145	1487,49	0,09468	998,0143	906,30987
0,09539	1905,1465	1415,36599	0,09539	910,11485	846,57741
0,09611	1820,52075	1347,15807	0,09611	827,94875	790,69433
0,09682	1659,3424	1282,64562	0,09682	823,1516	738,42401
0,09753	1632,98525	1221,62303	0,09753	730,4785	689,54604
0,09824	1496,2539	1164,03762	0,09824	689,39545	643,96256
0,09895	1348,7251	1112,37278	0,09895	651,26415	603,52688
0,09966	1339,9208	1073,09838	0,09966	581,72785	573,11063
0,10109	1167,9393	962,32212	0,10109	513,98066	489,06308
0,10251	1045,25258	876,84329	0,10251	429,99285	426,14975
0,10394	914,23164	800,49955	0,10394	364,49898	371,63388
0,10536	826,69859	732,09806	0,10536	322,77631	324,34842
0,10678	725,64414	670,80833	0,10678	268,1991	283,43694
0,10821	648,34856	615,89052	0,10821	233,54717	248,14216
0,10963	580,81894	566,6847	0,10963	202,52135	217,79395
0,11105	505,28371	522,60149	0,11105	172,77873	191,7988
0,11248	466,74988	483,11399	0,11248	154,32942	169,6308
0,1139	416,30629	447,75063	0,1139	134,84133	150,82361
0,11533	370,59121	416,08895	0,11533	118,69842	134,96359
0,11675	334,60422	387,75012	0,11675	102,74102	121,68369
0,11817	311,73965	362,39421	0,11817	93,82478	110,65812
0,1196	282,44742	339,71586	0,1196	88,85362	101,59771
0,12102	254,47639	319,44064	0,12102	83,37871	94,24577
0,12244	240,83533	301,32171	0,12244	79,28516	88,37447
0,12387	224,09332	285,13693	0,12387	70,75102	83,78166
0,12529	210,83945	270,68625	0,12529	73,52473	80,28802
0,12671	201,82791	257,78947	0,12671	69,47664	77,7346
0,12814	191,23404	246,28417	0,12814	75,36156	75,98059
0,12956	185,22494	236,02391	0,12956	73,47012	74,90135
0,13099	176,39469	226,87661	0,13099	73,72476	74,38668
0,13241	177,52303	218,72313	0,13241	76,35825	74,33928
0,13383	170,44394	211,45599	0,13383	76,03945	74,67337
0,13526	162,39608	204,97819	0,13526	77,17182	75,31343
0,13668	163,86945	199,20222	0,13668	79,6308	76,19316
0,1381	164,04816	194,04911	0,1381	84,47814	77,25448
0,13953	164,78104	189,44764	0,13953	84,18047	78,44664
0,14095	167,57998	185,33356	0,14095	89,20668	79,72546
0,14237	165,1067	181,64894	0,14237	89,55959	81,05264
0,1438	168,21375	178,34157	0,1438	90,16138	82,39512
0,14522	165,00223	175,36443	0,14522	98,35493	83,7245
0,14665	170,83807	172,67519	0,14665	94,2449	85,01658
0,14807	166,67291	170,23577	0,14807	95,1095	86,2509
0,14949	168,67873	168,01197	0,14949	94,91041	87,4103
0,15092	165,53457	165,97304	0,15092	101,38578	88,4806
