Depth, A	Simulated curve 4	Depth, A	Simulated curve 2	Depth, A	Simulated curve 3	Depth, A	Simulated curve 1
37,46366	1,06808E-27	50	0	-0,1613	0,89965	35,84238	0,00655
37,19382	1,06808E-27	49,80606	1,0834E-268	0,03264	0,89965	35,64844	0,01909
36,92398	1,06808E-27	49,61212	9,7594E-263	0,22658	0,89965	35,4545	0,03164
36,65414	1,06808E-27	49,41818	7,5358E-257	0,42053	0,89946	35,26056	0,04464
36,3843	1,06808E-27	49,22424	4,9881E-251	0,61447	0,89889	35,06662	0,05944
36,11446	1,06808E-27	49,0303	2,8303E-245	0,80842	0,898	34,87268	0,07425
35,84462	1,06808E-27	48,83636	1,3766E-239	1,00236	0,89683	34,67874	0,08888
35,57478	1,06808E-27	48,64242	5,7399E-234	1,1963	0,89544	34,4848	0,10329
35,30493	1,06808E-27	48,44848	2,0516E-228	1,39024	0,89384	34,29086	0,11769
35,03509	1,06808E-27	48,25454	6,2858E-223	1,58418	0,89209	34,09692	0,13175
34,76525	1,06808E-27	48,0606	1,6509E-217	1,77813	0,89024	33,90298	0,14565
34,49541	1,06808E-27	47,86666	3,717E-212	1,97208	0,88832	33,70904	0,15955
34,22557	1,06808E-27	47,67272	7,1738E-207	2,16602	0,88638	33,5151	0,17288
33,95573	1,06808E-27	47,47878	1,1869E-201	2,35996	0,88447	33,32116	0,18615
33,68589	1,06808E-27	47,28484	1,6832E-196	2,5539	0,8826	33,12722	0,19933
33,41605	1,06808E-27	47,0909	2,0464E-191	2,74784	0,88087	32,93328	0,21192
33,14621	1,06808E-27	46,89696	2,1326E-186	2,94179	0,87927	32,73934	0,22451
32,87637	1,06808E-27	46,70302	1,9052E-181	3,13574	0,87787	32,5454	0,23693
32,60653	1,06808E-27	46,50908	1,459E-176	3,32968	0,8767	32,35146	0,24907
32,33669	1,06808E-27	46,31514	9,5782E-172	3,52362	0,87581	32,15752	0,26122
32,06685	1,06808E-27	46,1212	5,39E-167	3,71756	0,87526	31,96358	0,27325
31,797	1,06808E-27	45,92726	2,6001E-162	3,9115	0,87505	31,76964	0,28521
31,52716	1,06808E-27	45,73332	1,0752E-157	4,10545	0,87509	31,5757	0,29718
31,25732	1,06808E-27	45,53938	3,8114E-153	4,29939	0,87519	31,38176	0,30898
30,98748	1,06808E-27	45,34544	1,1582E-148	4,49333	0,87536	31,18782	0,32076
30,71764	1,06808E-27	45,1515	3,0169E-144	4,68728	0,8756	30,99388	0,33251
