Mean molecule area A2/molecule	Surface pressure, mN/m	Cs-1, mN/m
297,79	0,6754	4,19884
297,54	0,6725	4,04357
297,1	0,67182	3,88904
296,67	0,67382	3,73211
296,27	0,67656	3,57598
295,83	0,67882	3,42275
295,43	0,68404	3,26746
294,99	0,68826	3,11214
294,58	0,6875	2,95758
294,15	0,69088	2,80619
293,75	0,6969	2,65256
293,31	0,6989	2,60753
292,91	0,70378	2,51903
292,47	0,7054	2,4158
292,03	0,70928	2,33332
291,63	0,71232	2,22805
291,19	0,70758	2,16645
290,79	0,70568	2,18674
290,35	0,71148	2,14859
289,95	0,70984	2,04415
289,51	0,7069	2,08447
289,11	0,71108	2,25795
288,67	0,71518	2,39596
288,27	0,71898	2,66361
287,83	0,72294	2,96465
287,43	0,72322	3,26233
286,99	0,72838	3,55007
286,59	0,73286	3,7314
286,15	0,72944	3,83155
285,75	0,72982	3,9805
285,32	0,73998	3,98021
284,91	0,7471	3,86908
284,47	0,74768	3,81474
284,03	0,75594	3,75204
283,63	0,7616	3,70137
283,2	0,7626	3,74674
282,8	0,76428	3,73579
282,35	0,76744	3,69879
281,96	0,77006	3,70213
281,51	0,77344	3,61177
281,12	0,77138	3,4128
280,68	0,7733	3,35693
280,28	0,77926	3,35775
279,84	0,78084	3,40565
279,44	0,78424	3,53771
279	0,79278	3,66885
278,6	0,79562	3,7806
278,15	0,79554	3,89132
277,72	0,79982	3,94362
277,32	0,80408	3,98509
276,88	0,80368	4,07567
276,48	0,8095	4,03108
276,04	0,81274	3,95565
275,64	0,82178	3,93614
275,2	0,8259	3,86381
274,8	0,8266	3,80873
274,36	0,83068	3,8575
273,96	0,83568	3,87105
273,52	0,83534	3,79646
273,12	0,83836	3,73901
272,68	0,8451	3,68936
272,28	0,84498	3,60499
271,84	0,84804	3,63994
271,44	0,85292	3,6373
271	0,85486	3,8211
270,6	0,8598	4,02112
270,16	0,86512	4,17127
269,76	0,86674	4,23523
269,32	0,86782	4,34413
268,92	0,8715	4,38877
268,48	0,87466	4,4165
268,08	0,87958	4,51179
267,64	0,88904	4,6382
267,25	0,891	4,77576
266,8	0,90214	4,85576
266,4	0,90674	4,94438
265,96	0,91042	5,00537
265,56	0,90832	5,08016
265,12	0,91384	5,14333
264,72	0,91746	5,18322
264,29	0,9212	5,2303
263,89	0,92682	5,28572
263,45	0,93746	5,3533
263,05	0,94402	5,5109
262,6	0,94436	5,63802
262,17	0,95194	5,87785
261,76	0,95408	6,10948
261,33	0,95874	6,38691
260,93	0,96558	6,55195
260,49	0,9726	6,66073
260,09	0,97948	6,81176
259,65	0,98742	6,89371
259,25	0,99442	6,9142
258,81	1,00186	7,0034
258,41	1,00884	7,15537
257,97	1,01682	7,22058
257,53	1,02238	7,40399
257,13	1,03352	7,55448
256,69	1,03992	7,67246
256,29	1,04294	7,76302
255,85	1,0549	7,81622
255,45	1,0595	7,8883
255,02	1,06262	7,96682
254,61	1,06968	8,02531
254,17	1,08014	8,1919
253,78	1,0872	8,31129
253,33	1,10198	8,43082
252,93	1,11202	8,59709
252,5	1,1205	8,8678
