Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3	Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4
174,22798	-0,01	174,26798	-0,01566	175,43739	-0,04413	300	-0,04086
174,8327	-0,01	174,8727	-0,01566	176,04207	0,76627	300,5	-0,04203
175,43739	-0,04365	175,47739	0,0496	176,64671	0,61716	301	-0,0429
176,04207	-0,02295	176,08207	0,0466	177,25134	0,43395	301,5	-0,04294
176,64671	-0,01947	176,68671	0,06263	177,85594	0,3322	302	-0,0439
177,25134	-0,01775	177,29134	0,0484	178,46051	0,28165	302,5	-0,0446
177,85594	-0,00631	177,89594	0,07715	179,06506	0,21284	303	-0,04521
178,46051	-0,00992	178,50051	0,09299	179,66959	0,18567	303,5	-0,04664
179,06506	-0,0181	179,10506	0,08439	180,27409	0,16422	304	-0,04702
179,66959	-0,01725	179,70959	0,07386	180,87857	0,13829	304,5	-0,04794
180,27409	-0,01621	180,31409	0,09397	181,48303	0,13829	305	-0,04852
180,87857	-0,01621	180,91857	0,09397	182,08746	0,11626	305,5	-0,04892
181,48303	-0,01621	181,52303	0,09397	182,69186	0,11269	306	-0,04988
182,08746	-0,03611	182,12746	0,08038	183,29625	-0,07779	306,5	-0,0504
182,69186	-0,01502	182,73186	0,0563	183,9006	-0,09193	307	-0,05063
183,29625	-0,01054	183,33625	0,06122	184,50493	-0,09617	307,5	-0,05175
183,9006	-0,01477	183,9406	0,04888	185,10924	-0,11692	308	-0,05273
184,50493	-0,01846	184,54493	0,04367	185,71353	-0,09891	308,5	-0,05267
185,10924	-0,01476	185,14924	0,03701	186,31778	-0,09633	309	-0,0525
185,71353	-0,01872	185,75353	0,03087	186,92203	-0,09633	309,5	-0,0532
186,31778	-0,00638	186,35778	0,03963	187,52623	-0,09769	310	-0,05566
186,92203	-0,00638	186,96203	0,03963	188,13042	-0,09558	310,5	-0,05522
187,52623	0,01063	187,56623	0,03623	188,73457	-0,09558	311	-0,05639
188,13042	0,00812	188,17042	0,03712	189,33871	-0,09071	311,5	-0,05612
188,73457	0,00812	188,77457	0,03712	189,94283	-0,08306	312	-0,05633
189,33871	0,00472	189,37871	0,01491	190,54692	-0,08306	312,5	-0,05714
189,94283	0,01725	189,98283	0,0117	191,15099	-0,09741	313	-0,05764
190,54692	0,01725	190,58692	0,0117	191,75502	-0,10406	313,5	-0,05739
191,15099	0,02948	191,19099	0,01719	192,35904	0,08642	314	-0,05822
191,75502	0,03782	191,79502	0,02122	192,96303	0,09498	314,5	-0,05848
192,35904	0,04649	192,39904	0,00929	193,56699	0,08876	315	-0,05935
192,96303	0,04614	193,00303	-0,01935	194,17093	0,08876	315,5	-0,05916
193,56699	0,0538	193,60699	-0,01129	194,77486	0,10055	316	-0,05977
194,17093	0,0538	194,21093	-0,01129	195,37874	0,10641	316,5	-0,05958
194,77486	0,08505	194,81486	0,00213	195,9826	0,13272	317	-0,06007
195,37874	0,06332	195,41874	0,19623	196,58646	0,14686	317,5	-0,06051
195,9826	0,05866	196,0226	0,19476	197,19028	0,13419	318	-0,05981
196,58646	0,06289	196,62646	0,2071	197,79407	0,13419	318,5	-0,06059
197,19028	0,05407	197,23028	0,19137	198,39783	0,13419	319	-0,06114
197,79407	0,05407	197,83407	0,19137	199,00157	0,11463	319,5	-0,06088
198,39783	0,05407	198,43783	0,19137	199,6053	0,30511	320	-0,06157
199,00157	0,03519	199,04157	0,18681	200,20898	0,30277	320,5	-0,06028
199,6053	0,03601	199,6453	0,18926	200,81265	0,29859	321	-0,06157
200,20898	0,02242	200,24898	0,17896	201,41631	0,29133	321,5	-0,06111
200,81265	0,01735	200,85265	0,17039	202,01993	0,2975	322	-0,06091
201,41631	0,00729	201,45631	0,15994	202,62352	0,29179	322,5	-0,06183
202,01993	0,02448	202,05993	0,16097	203,22708	0,30699	323	-0,06173
202,62352	0,01891	202,66352	0,35126	203,83063	0,32133	323,5	-0,06213
203,22708	0,03647	203,26708	0,3348	204,43416	0,3321	324	-0,06166
203,83063	0,02423	203,87063	0,32932	205,03764	0,17067	324,5	-0,06187
204,43416	0,03337	204,47416	0,34558	205,64111	0,15617	325	-0,0628
205,03764	0,01481	205,07764	0,36009	206,24457	0,16239	325,5	-0,06237
205,64111	0,01776	205,68111	0,36239	206,84798	0,15645	326	-0,0623
206,24457	0,0101	206,28457	0,35434	207,45139	0,16668	326,5	-0,0615
206,84798	0,01142	206,88798	0,34701	208,05475	0,17455	327	-0,06155
207,45139	7,17568E-5	207,49139	0,34718	208,6581	0,16335	327,5	-0,06053
208,05475	0,02181	208,09475	0,15912	209,26141	0,16335	328	-0,06096
208,6581	0,01895	208,6981	0,15356	209,86472	0,17216	328,5	-0,05961
209,26141	0,01895	209,30141	0,15356	210,46799	0,36263	329	-0,05905
209,86472	0,02044	209,90472	0,18172	211,07123	0,36263	329,5	-0,05751
210,46799	0,01734	210,50799	0,17765	211,67445	0,38436	330	-0,0579
211,07123	0,01734	211,11123	0,17765	212,27765	0,20593	330,5	-0,05618
211,67445	0,03971	211,71445	0,17347	212,88081	0,20679	331	-0,05531
212,27765	0,03741	212,31765	0,16527	213,48396	0,19431	331,5	-0,0552
212,88081	0,04375	212,92081	0,17577	214,08708	0,22641	332	-0,05345
213,48396	0,04193	213,52396	0,16914	214,69017	0,20614	332,5	-0,05301
214,08708	0,04858	214,12708	0,16978	215,29324	0,20567	333	-0,05177
214,69017	0,02345	214,73017	0,15653	215,89629	0,19047	333,5	-0,05084
