AlphA. deg.	Ni Ka XRF, A.u. curve 4	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
-0,00361	2,07657E-4	1,0002	0,00235	2,51248E-9	0,00235	0,00715	-0,00361	-0,00125
-0,00135	1,23472E-4	1,0001	0,00597	0,00448	0,00249	0,00759	-0,00346	-0,0012
0,00197	7,67127E-12	0,99986	0,00913	0,01796	0,00263	0,00802	-0,00331	-0,00115
0,00513	3,02774E-4	0,99963	0,0117	0,02712	0,00277	0,00846	-0,00316	-0,0011
0,0083	0,00121	0,99939	0,01471	0,02061	0,00292	0,0089	-0,00301	-0,00105
0,01086	0,00239	0,99924	0,01818	0,04519	0,00306	0,00934	-0,00286	-0,001
0,01403	0,00356	0,99899	0,02105	0,0404	0,0032	0,00978	-0,00271	-9,51141E-4
0,01705	0,00218	0,99877	0,02346	0,07933	0,00334	0,01022	-0,00256	-9,00611E-4
0,01961	0,00279	0,99862	0,02723	0,08639	0,00348	0,01067	-0,00241	-8,4985E-4
0,02323	0,00578	0,9983	0,03009	0,09062	0,00362	0,01111	-0,00226	-7,98859E-4
0,02564	0,00798	0,99817	0,03266	0,07752	0,00377	0,01155	-0,00211	-7,47635E-4
0,02896	0,00769	0,99791	0,03552	0,10994	0,00391	0,012	-0,00196	-6,96177E-4
0,03227	0,01156	0,99764	0,03884	0,12561	0,00405	0,01244	-0,00181	-6,44485E-4
0,03484	0,01388	0,99747	0,04246	0,16213	0,00419	0,01289	-0,00166	-5,92558E-4
0,03755	0,01582	0,99728	0,04487	0,22112	0,00433	0,01333	-0,00151	-5,40394E-4
0,04102	0,0178	0,99698	0,04788	0,20627	0,00448	0,01378	-0,00136	-4,87993E-4
0,04403	0,02083	0,99675	0,0509	0,19293	0,00462	0,01423	-0,00135	-4,83218E-4
0,0469	0,02715	0,99652	0,05422	0,20232	0,00476	0,01467	-0,00121	-4,35352E-4
0,04946	0,03252	0,99634	0,05693	0,21535	0,0049	0,01512	-0,00106	-3,82472E-4
0,05293	0,03291	0,99603	0,0601	0,28171	0,00504	0,01557	-9,14306E-4	-3,29351E-4
0,0561	0,03969	0,99576	0,06251	0,27417	0,00519	0,01602	-7,64434E-4	-2,75988E-4
0,05881	0,04313	0,99555	0,06613	0,29053	0,00533	0,01647	-6,14563E-4	-2,22382E-4
0,06183	0,0474	0,99529	0,06899	0,30725	0,00547	0,01692	-4,64691E-4	-1,68532E-4
0,06529	0,0656	0,99494	0,07186	0,34361	0,00561	0,01738	-3,14819E-4	-1,14436E-4
0,06756	0,0819	0,9948	0,07517	0,35352	0,00575	0,01783	-1,64947E-4	-6,00943E-5
0,07117	0,0919	0,99439	0,07774	0,41462	0,00589	0,01828	-1,50751E-5	-5,50472E-6
0,07374	0,09562	0,99419	0,08075	0,39981	0,00597	0,01851	1,34797E-4	4,93336E-5
