Wavelength, nm	Absorbance, a.u. - curve 2	Wavelength, nm	Absorbance, a.u. - curve 4	Wavelength, nm	Absorbance, a.u. - curve 1	Wavelength, nm	Absorbance, a.u. - curve 3
236,21568	0,01717	250	--	250	0,01697	281,21802	0,01662
236,51121	-0,03727	250,5	--	250,5	0,01672	281,81717	0,01837
236,80672	-0,03198	251	--	251	0,01696	282,41629	0,01694
237,10222	0,03393	251,5	--	251,5	0,01672	283,01538	0,01762
237,3977	0,04629	252	--	252	0,01632	283,61444	0,01603
237,69316	-0,00349	252,5	--	252,5	0,0163	284,21344	0,01702
237,9886	0,00805	253	--	253	0,01628	284,81238	0,01665
238,28403	0,02239	253,5	--	253,5	0,01602	285,41132	0,01748
238,57944	0,04385	254	--	254	0,01595	286,01019	0,01695
238,87483	-0,03556	254,5	--	254,5	0,01575	286,60904	0,01597
239,1702	0,02216	255	--	255	0,01557	287,20782	0,01564
239,46556	0,0205	255,5	--	255,5	0,01558	287,80658	0,0162
239,7609	0,02336	256	--	256	0,01559	288,4053	0,01678
240,05622	0,02671	256,5	--	256,5	0,0155	289,00397	0,01697
240,35152	0,02824	257	--	257	0,01543	289,6026	0,01721
240,64681	0,02887	257,5	--	257,5	0,01538	290,2012	0,01817
240,94208	0,03443	258	--	258	0,01522	290,79974	0,01733
241,23734	0,03625	258,5	--	258,5	0,01518	291,39825	0,01701
241,53257	0,03625	259	--	259	0,0152	291,99673	0,01607
241,82779	0,03416	259,5	--	259,5	0,01514	292,59515	0,01713
242,12299	0,03651	260	--	260	0,01505	293,19354	0,01622
242,41817	0,03552	260,5	--	260,5	0,01497	293,7919	0,01658
242,71334	0,03567	261	--	261	0,01495	294,3902	0,01644
243,00849	0,03769	261,5	--	261,5	0,01481	294,98846	0,01725
243,30362	0,04101	262	--	262	0,0148	295,5867	0,01726
243,59873	0,04145	262,5	--	262,5	0,01476	296,18488	0,0177
243,89383	0,03505	263	--	263	0,0147	296,78302	0,01724
244,18891	0,03247	263,5	--	263,5	0,01463	297,38113	0,01796
244,48397	0,03086	264	--	264	0,01463	297,97919	0,01673
244,77902	0,03335	264,5	--	264,5	0,01454	298,57721	0,01735
245,07404	0,03519	265	--	265	0,01458	299,1752	0,01655
245,36905	0,03653	265,5	--	265,5	0,01451	299,77313	0,01764
245,66404	0,03781	266	--	266	0,0144	300,37103	0,01674
245,95902	0,03747	266,5	--	266,5	0,01426	300,9689	0,01672
246,25398	0,03546	267	--	267	0,01421	301,56671	0,01695
246,54892	0,03408	267,5	--	267,5	0,01409	302,16449	0,01783
246,84384	0,0311	268	--	268	0,01405	302,76221	0,01765
247,13874	0,02877	268,5	--	268,5	0,01411	303,35992	0,01727
247,43363	0,02825	269	--	269	0,01399	303,95755	0,01602
247,7285	0,02941	269,5	--	269,5	0,01389	304,55518	0,01656
248,02335	0,02998	270	--	270	0,01384	305,15274	0,01596
248,31819	0,02983	270,5	--	270,5	0,01384	305,75027	0,01753
248,613	0,03045	271	--	271	0,0138	306,34775	0,01786
248,9078	0,03098	271,5	--	271,5	0,01373	306,94522	0,01857
249,20258	0,03042	272	--	272	0,01374	307,5426	0,01771
249,49735	0,03096	272,5	--	272,5	0,01364	308,13998	0,01817
249,79209	0,02989	273	--	273	0,01361	308,7373	0,01841
250,08682	0,03405	273,5	--	273,5	0,0135	309,33459	0,01842
250,38153	0,03997	274	--	274	0,01358	309,93182	0,01709
250,67623	0,03675	274,5	--	274,5	0,01358	310,52902	0,01772
250,9709	0,03355	275	--	275	0,01369	311,12619	0,01775
251,26556	0,03112	275,5	--	275,5	0,01363	311,72333	0,01801
251,5602	0,02773	276	--	276	0,01361	312,3204	0,01667
251,85483	0,025	276,5	--	276,5	0,01363	312,91745	0,01672
252,14943	0,02308	277	--	277	0,0136	313,51443	0,01707
252,44402	0,02128	277,5	--	277,5	0,01364	314,11139	0,01796
252,73859	0,02302	278	--	278	0,01362	314,70831	0,01764
253,03314	0,02212	278,5	--	278,5	0,01371	315,30518	0,01719
253,32768	0,02001	279	--	279	0,01381	315,90201	0,01719
253,6222	0,0175	279,5	--	279,5	0,01381	316,49881	0,01738
253,9167	0,01568	280	--	280	0,01394	317,09555	0,01705
254,21118	0,01638	280,5	--	280,5	0,01395	317,69226	0,01694
254,50564	0,01709	281	--	281	0,01414	318,28894	0,01769
254,80009	0,01384	281,5	--	281,5	0,01418	318,88556	0,01858
255,09452	0,01476	282	--	282	0,0141	319,48215	0,01739
255,38893	0,01523	282,5	--	282,5	0,01417	320,0787	0,0169
255,68332	0,01187	283	--	283	0,01424	320,6752	0,01552
255,9777	0,01156	283,5	--	283,5	0,01435	321,27167	0,01611
256,27205	0,00756	284	--	284	0,01435	321,8681	0,01617
256,56639	0,00218	284,5	--	284,5	0,01458	322,46448	0,01782
256,86072	0,00435	285	--	285	0,01461	323,06082	0,01755
257,15502	0,00735	285,5	--	285,5	0,01468	323,6571	0,01815
257,44931	0,00595	286	--	286	0,01479	324,25336	0,01847
257,74358	0,01142	286,5	--	286,5	0,01495	324,84958	0,01982
258,03783	0,01302	287	--	287	0,01502	325,44577	0,01944
258,33206	0,01464	287,5	--	287,5	0,01514	326,0419	0,01871
258,62628	0,01567	288	--	288	0,01533	326,638	0,01681
258,92047	0,01488	288,5	--	288,5	0,01542	327,23404	0,01661
259,21465	0,01772	289	--	289	0,01544	327,83005	0,01576
259,50882	0,01934	289,5	--	289,5	0,0155	328,42603	0,01788
259,80296	0,02043	290	--	290	0,01564	329,02197	0,01707
260,09709	0,02099	290,5	--	290,5	0,01572	329,61786	0,01771
260,39119	0,01767	291	--	291	0,01588	330,21371	0,01637
260,68528	0,01953	291,5	--	291,5	0,01604	330,80951	0,01747
260,97936	0,02241	292	--	292	0,01631	331,40527	0,01713
261,27341	0,02231	292,5	--	292,5	0,01651	332,00101	0,01901
261,56745	0,01964	293	--	293	0,01672	332,59668	0,01882
261,86147	0,01731	293,5	--	293,5	0,01681	333,19232	0,01899
262,15547	0,01636	294	--	294	0,01702	333,78793	0,01816
262,44945	0,01541	294,5	--	294,5	0,01717	334,38348	0,01888
262,74341	0,01692	295	--	295	0,01734	334,979	0,01902
263,03736	0,01647	295,5	--	295,5	0,01753	335,57449	0,01905
263,33129	0,01707	296	--	296	0,01779	336,16992	0,01792
263,6252	0,01575	296,5	--	296,5	0,01793	336,76532	0,0179
263,91909	0,00994	297	--	297	0,01813	337,36069	0,01671
264,21297	0,0109	297,5	--	297,5	0,01836	337,95599	0,01748
264,50683	0,0137	298	--	298	0,01863	338,55127	0,01764
264,80067	0,01183	298,5	--	298,5	0,01896	339,14648	0,01832
265,09449	0,01511	299	--	299	0,01926	339,7417	0,01742
265,38829	0,01227	299,5	--	299,5	0,01953	340,33685	0,01847
265,68208	0,01334	300	0,02064	300	0,01966	340,93195	0,01797
265,97584	0,01345	300,5	0,02061	300,5	0,0199	341,52701	0,01837
266,26959	0,01693	301	0,02167	301	0,02017	342,12204	0,01769
266,56332	0,0199	301,5	0,02298	301,5	0,02044	342,71704	0,01832
266,85703	0,01905	302	0,02354	302	0,02074	343,31198	0,01746
267,15073	0,0176	302,5	0,02357	302,5	0,02118	343,90689	0,01755
267,44441	0,01825	303	0,02373	303	0,02147	344,50174	0,01718
267,73806	0,02141	303,5	0,02599	303,5	0,02177	345,09656	0,01846
268,0317	0,02296	304	0,02589	304	0,02198	345,69135	0,01817
268,32533	0,02457	304,5	0,02612	304,5	0,02229	346,28607	0,01832
268,61893	0,02556	305	0,02715	305	0,02259	346,88077	0,01741
268,91252	0,02761	305,5	0,02769	305,5	0,02292	347,47543	0,01747
269,20609	0,02529	306	0,02536	306	0,02356	348,07004	0,01693
269,49964	0,02458	306,5	0,0271	306,5	0,02386	348,66461	0,01691
269,79317	0,02617	307	0,02719	307	0,02413	349,25916	0,01597
270,08668	0,02981	307,5	0,02818	307,5	0,0244	349,85364	0,01576
270,38018	0,02726	308	0,02904	308	0,02476	350,44809	0,01604
270,67365	0,02831	308,5	0,02815	308,5	0,02515	351,04251	0,01639
270,96711	0,03125	309	0,02853	309	0,02549	351,63687	0,01708
271,26055	0,02967	309,5	0,03004	309,5	0,02567	352,2312	0,01703
271,55398	0,03097	310	0,02997	310	0,02626	352,8255	0,01669
271,84738	0,03082	310,5	0,02995	310,5	0,02666	353,41974	0,01674
272,14077	0,03299	311	0,03134	311	0,02702	354,01395	0,01592
272,43413	0,03205	311,5	0,03192	311,5	0,02738	354,60809	0,01625
272,72748	0,03111	312	0,03157	312	0,02784	355,20221	0,0153
273,02082	0,03345	312,5	0,03255	312,5	0,02814	355,7963	0,01605
273,31413	0,03243	313	0,03249	313	0,02853	356,39035	0,01543
273,60742	0,03194	313,5	0,03326	313,5	0,02884	356,98434	0,01569
273,9007	0,03044	314	0,03464	314	0,02923	357,57828	0,01528
274,19396	0,03173	314,5	0,03494	314,5	0,02969	358,17221	0,01481
274,4872	0,03061	315	0,03682	315	0,03011	358,76608	0,01462
274,78042	0,033	315,5	0,03497	315,5	0,03057	359,35992	0,01544
275,07363	0,03181	316	0,03474	316	0,03095	359,9537	0,01581
275,36681	0,03713	316,5	0,03574	316,5	0,03124	360,54745	0,01582
275,65998	0,03928	317	0,03603	317	0,03143	361,14117	0,01494
275,95313	0,0393	317,5	0,0351	317,5	0,0317	361,73483	0,01473
276,24626	0,04036	318	0,03545	318	0,03182	362,32846	0,01456
276,53937	0,04151	318,5	0,03645	318,5	0,03197	362,92206	0,01448
276,83246	0,03959	319	0,03728	319	0,03224	363,51559	0,01446
277,12554	0,03983	319,5	0,03776	319,5	0,03238	364,1091	0,01451
277,4186	0,04189	320	0,03929	320	0,03243	364,70255	0,01468
277,71163	0,04013	320,5	0,03844	320,5	0,03218	365,29599	0,015
278,00465	0,04066	321	0,03896	321	0,032	365,88934	0,0151
278,29766	0,03616	321,5	0,04051	321,5	0,03173	366,4827	0,01512
278,59064	0,03866	322	0,04033	322	0,03148	367,07599	0,0152
278,8836	0,03568	322,5	0,0419	322,5	0,03109	367,66925	0,0153
279,17655	0,03538	323	0,04202	323	0,03067	368,26245	0,01562
279,46948	0,03361	323,5	0,0414	323,5	0,03023	368,85562	0,01578
279,76239	0,03465	324	0,041	324	0,0297	369,44876	0,01571
280,05528	0,03203	324,5	0,04108	324,5	0,02912	370,04187	0,0154
280,34815	0,03478	325	0,04184	325	0,02837	370,63492	0,01521
280,64101	0,03621	325,5	0,04127	325,5	0,0277	371,22791	0,01566
280,93384	0,03493	326	0,04163	326	0,02686	371,82089	0,01585
281,22666	0,03619	326,5	0,04059	326,5	0,02614	372,41382	0,01629
281,51946	0,03271	327	0,04237	327	0,0252	373,00668	0,01613
281,81224	0,02973	327,5	0,04089	327,5	0,02445	373,59952	0,01678
282,105	0,02821	328	0,04109	328	0,02383	374,19232	0,01689
282,39775	0,02945	328,5	0,03885	328,5	0,02306	374,7851	0,01739
282,69047	0,02824	329	0,03899	329	0,02244	375,37781	0,01727
282,98318	0,02932	329,5	0,03827	329,5	0,02172	375,97049	0,0177
283,27587	0,02691	330	0,03595	330	0,02084	376,56314	0,01762
283,56854	0,02673	330,5	0,03625	330,5	0,02013	377,15573	0,01771
283,86119	0,02626	331	0,0349	331	0,01956	377,74829	0,01745
284,15382	0,02805	331,5	0,03346	331,5	0,01885	378,34079	0,01773
284,44643	0,02902	332	0,03427	332	0,01836	378,93326	0,0177
284,73903	0,02961	332,5	0,03354	332,5	0,01771	379,5257	0,01818
285,0316	0,03044	333	0,03241	333	0,01724	380,11807	0,0184
285,32416	0,03312	333,5	0,03107	333,5	0,01692	380,71042	0,01861
285,6167	0,03649	334	0,03018	334	0,01647	381,30273	0,0186
285,90922	0,03678	334,5	0,02916	334,5	0,01598	381,89499	0,01874
286,20173	0,03829	335	0,02914	335	0,0156	382,48721	0,01877
286,49421	0,03262	335,5	0,02811	335,5	0,01522	383,07941	0,01934
286,78667	0,03098	336	0,028	336	0,01484	383,67154	0,01921
287,07912	0,031	336,5	0,02541	336,5	0,01454	384,26364	0,01972
287,37155	0,03072	337	0,02533	337	0,01428	384,85571	0,01944
287,66396	0,03038	337,5	0,02455	337,5	0,014	385,44772	0,01975
287,95635	0,03262	338	0,02414	338	0,01375	386,0397	0,01965
288,24872	0,03335	338,5	0,02286	338,5	0,0134	386,63162	0,0197
288,54107	0,03561	339	0,02362	339	0,01315	387,22351	0,01962
288,83341	0,03848	339,5	0,02364	339,5	0,01297	387,81537	0,01992
289,12572	0,03739	340	0,021	340	0,01268	388,4072	0,01999
289,41802	0,0367	340,5	0,02129	340,5	0,01259	388,99896	0,02029
289,7103	0,03512	341	0,01967	341	0,01236	389,5907	0,02028
290,00256	0,03425	341,5	0,02046	341,5	0,01218	390,18237	0,02051
290,2948	0,0308	342	0,0198	342	0,01195	390,77402	0,02053
290,58702	0,02969	342,5	0,02132	342,5	0,01194	391,36563	0,02083
290,87922	0,02812	343	0,0219	343	0,01161	391,95718	0,02104
291,17141	0,02843	343,5	0,01943	343,5	0,01155	392,54871	0,02159
291,46357	0,02952	344	0,01923	344	0,01139	393,14017	0,02192
291,75572	0,02982	344,5	0,01915	344,5	0,01141	393,73163	0,02249
292,04785	0,0248	345	0,02048	345	0,0113	394,32303	0,02273
292,33996	0,02639	345,5	0,01981	345,5	0,01116	394,91437	0,02319
292,63205	0,02886	346	0,01907	346	0,01115	395,50568	0,02368
292,92412	0,02904	346,5	0,0191	346,5	0,01118	396,09695	0,02435
293,21617	0,03128	347	0,01872	347	0,01097	396,6882	0,02487
293,50821	0,03304	347,5	0,02013	347,5	0,01081	397,27939	0,02542
293,80022	0,03286	348	0,02043	348	0,01092	397,87051	0,02603
294,09222	0,03014	348,5	0,01938	348,5	0,01093	398,46164	0,02658
294,3842	0,03187	349	0,01796	349	0,0108	399,0527	0,0271
