Mean molecule area A2/molecule	Surface pressure, mN/m	Mean molecule area A2/molecule	Cs-1, mN/m
228,8476	1,01747	226,4746	-1,14627
228,8356	1,01955	226,4596	-1,14583
228,8196	1,01905	226,4466	-1,1454
228,8076	1,01728	226,4346	-1,14499
228,7956	1,01792	226,4226	-1,1446
228,7796	1,01168	226,4096	-1,14421
228,7676	1,01648	226,3976	-1,14382
228,7546	1,01429	226,3816	-1,14345
228,7396	1,01368	226,3696	-1,14307
228,7266	1,0177	226,3566	-1,1427
228,7146	1,01383	226,3446	-1,14233
228,7016	1,01337	226,3326	-1,14196
228,6866	1,016	226,3196	-1,14161
228,6736	1,01248	226,3046	-1,14126
228,6616	1,0148	226,2796	-1,14092
228,6496	1,01127	226,2636	-1,14058
228,6366	1,00952	226,2516	-1,14026
228,6246	1,01192	226,2386	-1,13994
228,6086	1,00869	226,2296	-1,13964
228,5966	1,01507	226,2176	-1,13935
228,5836	1,01201	226,2046	-1,13907
228,5716	1,00967	226,1896	-1,13881
228,5556	1,01439	226,1796	-1,13856
228,5436	1,00924	226,1646	-1,13832
228,5316	1,01289	226,1516	-1,13807
228,5186	1,01261	226,1396	-1,13786
228,5066	1,00937	226,1276	-1,13767
228,4936	1,01473	226,1146	-1,1375
228,4816	1,01091	226,1026	-1,13734
228,4656	1,01214	226,0896	-1,13718
228,4536	1,01318	226,0646	-1,13704
228,4406	1,01107	226,0526	-1,13691
228,4286	1,01414	226,0406	-1,1368
228,4006	1,01192	226,0246	-1,13673
228,3886	1,01173	226,0126	-1,13666
228,3756	1,01511	225,9996	-1,13662
228,3636	1,01238	225,9876	-1,1366
228,3506	1,01205	225,9746	-1,1366
228,3386	1,01113	225,9596	-1,13662
228,3226	1,00919	225,9466	-1,13667
228,3106	1,00866	225,9346	-1,13674
228,2956	1,00831	225,9226	-1,13684
228,2826	1,00603	225,9066	-1,13697
228,2706	1,01018	225,8946	-1,13711
228,2576	1,00576	225,8816	-1,13728
228,2426	1,00892	225,8666	-1,13748
228,2296	1,00813	225,8536	-1,1377
228,2176	1,00962	225,8416	-1,13796
228,2016	1,01441	225,8286	-1,13823
228,1926	1,00828	225,8136	-1,13854
228,1766	1,00991	225,8006	-1,13886
228,1646	1,0106	225,7886	-1,13922
228,1526	1,00921	225,7726	-1,13961
228,1396	1,01106	225,7606	-1,14002
228,1276	1,00998	225,7486	-1,14045
228,1116	1,01136	225,7356	-1,14089
228,0996	1,00933	225,7236	-1,14136
228,0866	1,01342	225,7076	-1,14186
228,0746	1,00549	225,6956	-1,14239
228,0626	1,00586	225,6826	-1,14296
228,0466	1,01165	225,6706	-1,14356
228,0346	1,00943	225,6586	-1,1442
228,0216	1,01097	225,6426	-1,14487
228,0096	1,00635	225,6306	-1,14557
227,9966	1,00851	225,6176	-1,14628
227,9846	1,01097	225,6056	-1,14703
227,9686	1,01095	225,5896	-1,14781
227,9566	1,00739	225,5776	-1,14861
227,9446	1,0092	225,5646	-1,14945
227,9286	1,0079	225,5526	-1,15033
227,9166	1,01024	225,5366	-1,15124
227,9036	1,00579	225,5246	-1,15217
227,8786	1,00934	225,5126	-1,15311
227,8666	1,00799	225,4996	-1,1541
227,8536	1,00633	225,4876	-1,15511
227,8416	1,00921	225,4596	-1,15615
227,8266	1,00746	225,4436	-1,15722
227,8136	1,00834	225,4316	-1,15832
227,8016	1,00724	225,4216	-1,15945
227,7856	1,00722	225,4066	-1,16062
227,7736	1,00836	225,3936	-1,16182
227,7606	1,00436	225,3816	-1,16304
227,7486	1,00647	225,3696	-1,1643
227,7356	1,00373	225,3596	-1,16559
227,7206	1,00374	225,3476	-1,16691
227,7076	1,00379	225,3346	-1,16826
227,6956	1,00404	225,3226	-1,16965
227,6806	1,00395	225,3106	-1,17106
227,6676	1,00272	225,2976	-1,17249
227,6556	1,00459	225,2726	-1,17395
227,6396	1,00422	225,2576	-1,17543
227,6276	1,00681	225,2446	-1,17693
227,6146	1,00664	225,2326	-1,17845
227,6026	1,00492	225,2206	-1,18
227,5896	1,00555	225,2076	-1,18156
227,5746	1,00431	225,1926	-1,18314
227,5616	1,00273	225,1796	-1,18472
227,5496	1,00417	225,1676	-1,18631
227,5376	1,00276	225,1516	-1,18791
227,5246	1,00319	225,1396	-1,18951
227,5126	1,00603	225,1266	-1,19112
227,4996	1,00332	225,1116	-1,19272
227,4846	1,00547	225,0986	-1,19431
227,4716	1,00518	225,0866	-1,1959
227,4596	1,00168	225,0746	-1,19748
227,4436	1,00602	225,0586	-1,19905
227,4316	1,00342	225,0466	-1,20061
227,4196	1,00418	225,0306	-1,20215
227,4036	1,0034	225,0186	-1,20368
227,3916	1,00154	225,0026	-1,2052
227,3786	1,00326	224,9906	-1,2067
227,3666	0,99891	224,9776	-1,20817
227,3506	1,00403	224,9656	-1,20963
227,3386	1,00013	224,9526	-1,21106
227,3256	0,99792	224,9376	-1,21246
227,3136	1,00622	224,9256	-1,21382
227,2856	0,99733	224,9126	-1,21516
227,2736	0,99987	224,9006	-1,21645
227,2606	1,00168	224,8876	-1,2177
227,2486	0,99221	224,8726	-1,21892
227,2356	0,99881	224,8596	-1,22008
227,2236	0,99932	224,8446	-1,22121
227,2116	0,99679	224,8316	-1,22228
227,1986	1,00503	224,8196	-1,22331
227,1866	0,99991	224,8066	-1,22429
227,1736	1,00034	224,7916	-1,22521
227,1616	1,00579	224,7796	-1,22608
227,1486	1,00046	224,7666	-1,22688
227,1366	1,00348	224,7516	-1,22762
227,1246	1,00122	224,7386	-1,22829
227,1116	0,9974	224,7266	-1,22889
227,0866	1,00211	224,7136	-1,22942
227,0746	0,99693	224,7016	-1,22988
227,0586	0,99661	224,6886	-1,23027
227,0466	0,99942	224,6736	-1,23058
227,0336	0,99701	224,6606	-1,23081
227,0186	0,99945	224,6486	-1,23096
227,0056	1,00167	224,6366	-1,23102
226,9906	0,99986	224,6236	-1,231
226,9786	1,00075	224,6086	-1,2309
226,9656	1,00276	224,5956	-1,23071
226,9506	1,00098	224,5836	-1,23042
226,9376	1,00176	224,5706	-1,23005
226,9256	1,00241	224,5556	-1,22958
226,9126	1,00002	224,5426	-1,22902
226,8976	1,00386	224,5306	-1,22836
226,8846	1,00043	224,5186	-1,2276
226,8726	1,00276	224,4906	-1,22675
226,8606	1,00276	224,4776	-1,22579
226,8476	1,00243	224,4656	-1,22472
226,8326	1,00449	224,4526	-1,22355
226,8196	1,00274	224,4406	-1,22226
226,8076	1,00208	224,4286	-1,22086
226,7916	1,00587	224,4156	-1,21935
226,7796	1,00158	224,4036	-1,21772
226,7666	1,00315	224,3906	-1,21598
226,7516	1,00783	224,3786	-1,21412
226,7386	1,00035	224,3656	-1,21214
226,7266	1,01072	224,3536	-1,21002
226,7146	1,00225	224,3416	-1,20778
226,7016	1,00289	224,3286	-1,2054
226,6866	1,00891	224,3166	-1,20289
226,6736	0,9976	224,2916	-1,20024
226,6616	1,00635	224,2786	-1,19745
226,6486	1,0017	224,2666	-1,19454
226,6336	0,9983	224,2506	-1,19148
226,6206	1,0081	224,2386	-1,18829
226,6086	0,99813	224,2266	-1,18495
226,5926	1,00072	224,2136	-1,18148
226,5806	1,00579	224,2016	-1,17786
226,5686	0,99439	224,1856	-1,17411
226,5556	1,00607	224,1736	-1,17023
