Mean molecule area A2/molecule	complex dynamic surface elasticity |E|, mN/m	Mean molecule area A2/molecule	tan(φ) value 
228,55	7,6	228,55	0,09079
222,9	6,24	222,9	0,11699
217,25	5,09	217,25	0,1002
211,6	4,71	211,6	0
205,95	6,3	205,95	0,05238
200,3	11,63	200,3	0,05159
194,65	16,62	194,65	0,02046
189	19,93	189	0,00351
183,35	20,44	183,35	0
177,7	20,83	177,7	0,02784
172,05	21,28	172,05	0,01598
166,4	21,07	166,4	0,02515
160,75	21,15	160,75	0,05296
155,1	20,47	155,1	0,08549
149,45	20,4	149,45	0,09167
143,8	20,2	143,8	0,07822
138,15	21	138,15	0,08143
132,5	18,65	132,5	0,10617
126,85	18,38	126,85	0,09467
121,2	18,81	121,2	0,08081
115,55	18,07	115,55	0,08578
109,9	17,09	109,9	0,10298
104,25	16,59	104,25	0,07836
98,6	16,31	98,6	0,08952
92,95	15,56	92,95	0,07776
87,3	14,91	87,3	0,0778
81,65	15,39	81,65	0,07018
76	14,56	76	0,09135
70,35	14,72	70,35	0,0659
64,7	14,2	64,7	0,08873
59,05	13,81	59,05	0,07096
53,4	13,46	53,4	0,09138
47,75	13,61	47,75	0,05878
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
--	--	--	--
