Mean molecule area A2/molecule	Surface pressure, mN/m	Mean molecule area A2/molecule	Cs-1, mN/m
269,8	0,012	269,8	--
269,76	0,007	269,76	--
269,71	0	269,71	--
269,66	-0,002	269,66	--
269,61	0	269,61	--
269,57	0,006	269,57	--
269,51	0,008	269,51	--
269,47	0,01	269,47	--
269,41	0,013	269,41	--
269,37	0,021	269,37	--
269,32	0,023	269,32	--
269,27	0,024	269,27	--
269,23	0,04	269,23	--
269,18	0,044	269,18	--
269,13	0,054	269,13	--
269,08	0,066	269,08	--
269,04	0,071	269,04	--
268,98	0,079	268,98	--
268,94	0,08	268,94	--
268,88	0,077	268,88	--
268,84	0,075	268,84	--
268,79	0,077	268,79	--
268,75	0,08	268,75	--
268,69	0,081	268,69	--
268,65	0,079	268,65	--
268,59	0,088	268,59	--
268,55	0,094	268,55	--
268,51	0,102	268,51	--
268,45	0,11	268,45	--
268,41	0,113	268,41	--
268,36	0,114	268,36	--
268,32	0,12	268,32	--
268,26	0,124	268,26	--
268,22	0,128	268,22	--
268,17	0,131	268,17	--
268,12	0,136	268,12	--
268,07	0,142	268,07	--
268,03	0,146	268,03	--
267,97	0,147	267,97	--
267,93	0,148	267,93	--
267,87	0,148	267,87	--
267,83	0,15	267,83	--
267,79	0,157	267,79	--
267,74	0,169	267,74	--
267,69	0,17	267,69	--
267,64	0,168	267,64	--
267,6	0,171	267,6	--
267,54	0,172	267,54	--
267,5	0,183	267,5	--
267,44	0,19	267,44	--
267,4	0,199	267,4	--
267,35	0,213	267,35	--
267,3	0,219	267,3	--
267,25	0,22	267,25	--
267,21	0,221	267,21	--
267,15	0,223	267,15	--
267,11	0,23	267,11	--
267,07	0,231	267,07	--
267,01	0,238	267,01	--
266,97	0,239	266,97	--
266,91	0,242	266,91	--
266,87	0,25	266,87	--
266,82	0,255	266,82	--
266,78	0,258	266,78	--
266,72	0,265	266,72	--
266,68	0,272	266,68	--
266,62	0,273	266,62	--
266,58	0,271	266,58	--
266,53	0,281	266,53	--
266,49	0,281	266,49	--
266,44	0,281	266,44	--
266,39	0,283	266,39	--
266,35	0,289	266,35	--
266,29	0,304	266,29	--
266,25	0,305	266,25	--
266,19	0,301	266,19	--
266,15	0,302	266,15	--
266,1	0,315	266,1	--
266,06	0,322	266,06	--
266	0,328	266	--
265,96	0,33	265,96	--
265,9	0,329	265,9	--
265,86	0,343	265,86	--
265,81	0,347	265,81	--
265,77	0,346	265,77	--
265,71	0,348	265,71	--
265,67	0,353	265,67	--
265,61	0,356	265,61	--
265,57	0,365	265,57	--
265,52	0,365	265,52	--
265,47	0,366	265,47	--
265,42	0,372	265,42	--
265,38	0,376	265,38	--
265,32	0,377	265,32	--
265,28	0,379	265,28	--
265,22	0,383	265,22	--
265,18	0,385	265,18	--
265,13	0,389	265,13	--
265,09	0,384	265,09	--
265,03	0,379	265,03	--
264,99	0,391	264,99	--
264,95	0,399	264,95	--
264,89	0,408	264,89	--
264,85	0,409	264,85	--
264,79	0,408	264,79	--
264,75	0,411	264,75	--
264,7	0,412	264,7	--
264,65	0,412	264,65	--
264,6	0,405	264,6	--
264,56	0,403	264,56	--
264,5	0,413	264,5	--
264,46	0,418	264,46	--
264,4	0,421	264,4	--
264,36	0,43	264,36	--
264,31	0,437	264,31	--
264,27	0,443	264,27	--
264,21	0,44	264,21	--
264,17	0,441	264,17	--
264,11	0,442	264,11	--
264,07	0,449	264,07	--
264,02	0,45	264,02	--
263,98	0,45	263,98	--
263,93	0,451	263,93	--
263,88	0,449	263,88	--
263,79	0,454	263,79	--
263,71	0,466	263,71	--
263,67	0,47	263,67	--
263,64	0,468	263,64	--
263,59	0,472	263,59	--
263,54	0,479	263,54	--
263,49	0,482	263,49	--
263,45	0,483	263,45	--
263,39	0,485	263,39	--
263,35	0,486	263,35	--
263,29	0,482	263,29	--
263,25	0,488	263,25	--
263,2	0,49	263,2	--
263,16	0,477	263,16	--
263,1	0,481	263,1	--
263,06	0,481	263,06	--
263	0,472	263	--
262,96	0,474	262,96	--
262,91	0,485	262,91	--
262,86	0,485	262,86	--
262,81	0,484	262,81	--
262,77	0,484	262,77	--
262,71	0,483	262,71	--
262,67	0,488	262,67	--
262,62	0,491	262,62	--
262,57	0,493	262,57	--
262,53	0,493	262,53	--
262,48	0,491	262,48	--
262,43	0,494	262,43	--
262,38	0,498	262,38	--
262,34	0,499	262,34	--
262,28	0,491	262,28	--
262,24	0,489	262,24	--
262,18	0,492	262,18	--
262,14	0,493	262,14	--
262,09	0,5	262,09	--
262,05	0,513	262,05	--
261,99	0,515	261,99	--
261,95	0,513	261,95	--
261,89	0,503	261,89	--
261,85	0,502	261,85	--
261,8	0,51	261,8	--
261,76	0,506	261,76	--
261,71	0,504	261,71	--
261,66	0,507	261,66	--
261,62	0,504	261,62	--
261,56	0,507	261,56	--
261,52	0,508	261,52	--
261,46	0,515	261,46	--
261,42	0,516	261,42	--
261,37	0,508	261,37	--
261,33	0,51	261,33	--
261,27	0,513	261,27	--
261,23	0,512	261,23	--
261,17	0,515	261,17	--
261,13	0,515	261,13	--
261,08	0,52	261,08	--
261,03	0,52	261,03	--
260,98	0,519	260,98	--
260,94	0,519	260,94	--
260,88	0,52	260,88	--
260,84	0,522	260,84	--
260,78	0,524	260,78	--
260,74	0,525	260,74	--
260,69	0,534	260,69	--
260,64	0,527	260,64	--
260,59	0,527	260,59	--
260,55	0,537	260,55	--
260,51	0,53	260,51	--
260,45	0,528	260,45	--
260,41	0,536	260,41	--
260,35	0,538	260,35	--
260,31	0,535	260,31	--
260,25	0,534	260,25	--
260,21	0,537	260,21	--
260,16	0,539	260,16	--
260,11	0,541	260,11	--
260,06	0,543	260,06	--
260,02	0,545	260,02	--
259,96	0,542	259,96	--
259,92	0,537	259,92	--
259,87	0,534	259,87	--
259,82	0,539	259,82	--
259,77	0,543	259,77	--
259,73	0,541	259,73	--
259,67	0,541	259,67	--
259,63	0,542	259,63	--
259,58	0,542	259,58	--
259,53	0,54	259,53	--
259,48	0,538	259,48	--
259,44	0,544	259,44	--
259,38	0,548	259,38	--
259,34	0,549	259,34	--
259,3	0,55	259,3	--
259,24	0,55	259,24	--
259,2	0,549	259,2	--
259,15	0,555	259,15	--
259,1	0,554	259,1	--
259,05	0,547	259,05	--
259,01	0,544	259,01	--
258,95	0,539	258,95	--
258,91	0,534	258,91	--
258,85	0,528	258,85	--
258,81	0,535	258,81	--
258,76	0,537	258,76	--
258,72	0,537	258,72	--
258,66	0,546	258,66	--
258,62	0,55	258,62	--
258,56	0,552	258,56	--
258,52	0,553	258,52	--
258,47	0,553	258,47	--
258,42	0,553	258,42	--
258,37	0,554	258,37	--
258,33	0,555	258,33	--
258,29	0,551	258,29	--
258,23	0,547	258,23	--
258,19	0,546	258,19	--
258,13	0,551	258,13	0,7991
258,1	0,553	258,1	0,7597
258,05	0,535	258,05	0,71923
258,01	0,533	258,01	0,67298
257,97	0,539	257,97	0,62207
257,91	0,542	257,91	0,56753
257,87	0,543	257,87	0,51201
257,81	0,546	257,81	0,4583
257,77	0,55	257,77	0,41079
257,72	0,551	257,72	0,37241
257,68	0,545	257,68	0,34435
257,62	0,543	257,62	0,32433
257,58	0,545	257,58	0,31014
257,52	0,545	257,52	0,30101
257,48	0,544	257,48	0,29615
257,43	0,553	257,43	0,29369
257,38	0,547	257,38	0,29188
257,33	0,548	257,33	0,29087
257,29	0,55	257,29	0,29139
257,23	0,548	257,23	0,29358
257,19	0,549	257,19	0,2971
257,13	0,547	257,13	0,30196
257,09	0,546	257,09	0,30826
257,04	0,543	257,04	0,31606
257	0,539	257	0,32472
256,94	0,552	256,94	0,33308
256,9	0,551	256,9	0,33994
256,84	0,542	256,84	0,3451
256,8	0,55	256,8	0,35033
256,74	0,55	256,74	0,35754
256,7	0,55	256,7	0,36732
256,66	0,547	256,66	0,3795
256,61	0,547	256,61	0,39389
256,56	0,549	256,56	0,41027
256,51	0,55	256,51	0,42745
256,47	0,547	256,47	0,4443
256,41	0,547	256,41	0,46036
256,37	0,549	256,37	0,47605
256,32	0,545	256,32	0,49152
256,27	0,545	256,27	0,50691
256,22	0,543	256,22	0,52222
256,18	0,539	256,18	0,53729
256,12	0,535	256,12	0,55214
256,08	0,541	256,08	0,56704
256,02	0,545	256,02	0,58217
255,98	0,544	255,98	0,59728
255,93	0,543	255,93	0,61253
255,88	0,546	255,88	0,62806
255,83	0,538	255,83	0,64372
