Mean molecule area A2/molecule	complex dynamic surface elasticity |E|, mN/m	tan(φ) value 
269,83583	4,88	0,29713
266,80167	6,18	0,24272
263,7675	7,72	0,24093
260,73333	8,37	0,28315
257,69917	10,01	0,27672
254,665	11,71	0,27242
251,63083	13,54	0,28804
248,59667	15,29	0,27142
245,5625	16,86	0,27343
242,52833	16,72	0,26615
239,49417	18,81	0,26688
236,46	19,46	0,2703
233,42583	19,09	0,27711
230,39167	20,27	0,28367
227,3575	20,61	0,29064
224,32333	21,78	0,28191
221,28917	21,31	0,24589
218,255	21,4	0,29206
215,22083	23,13	0,26113
212,18667	23,27	0,26472
209,1525	23,53	0,26732
206,11833	22,91	0,2632
203,08417	23,42	0,26857
200,05	24,38	0,25062
197,01583	24,55	0,25336
193,98167	24,65	0,24138
190,9475	24,26	0,25185
187,91333	24,64	0,22646
184,87917	24,24	0,25248
181,845	25,31	0,24654
178,81083	25,27	0,24298
175,77667	25,17	0,23878
172,7425	25,77	0,24602
169,70833	25,99	0,23432
166,67417	26,27	0,22421
163,64	24,79	0,24808
160,60583	25,3	0,22292
157,57167	26,04	0,22465
154,5375	26,09	0,22116
151,50333	26,47	0,22025
148,46917	26,76	0,21674
145,435	26,82	0,20582
142,40083	26,89	0,20268
139,36667	26,98	0,20571
136,3325	26,55	0,22147
133,29833	27,07	0,20835
130,26417	27,56	0,19956
127,23	27,48	0,20619
124,19583	27,65	0,19494
121,16167	27,74	0,20224
118,1275	28,82	0,20229
115,09333	28,19	0,2171
112,05917	29,21	0,20917
109,025	28,89	0,2063
105,99083	29,95	0,19933
102,95667	29,78	0,20383
99,9225	30,93	0,19851
96,88833	33,18	0,19409
93,85417	35,09	0,20063
90,82	35,51	0,19741
87,78583	37,57	0,19244
84,75167	40,36	0,20342
81,28168	44,76	0,17873
78,24751	45,15	0,16678
75,21334	47,76	0,16436
72,17918	48,78	0,17138
69,14501	55,55	0,1838
66,11084	60,26	0,21822
63,07668	65,8	0,23283
59,04251	73,35	0,29121
54,00834	78,66	0,29914
