Frequency, mHz	Simulated curve, mN/m 	Frequency, mHz	complex dynamic surface elasticity |E|, mN/m
0,1	59,19224	1	57,68
0,2	59,19297	3	55,68
0,3	59,19418	5	58,56
0,5	59,19805	7	63,088
0,6	59,20071	10	63,572
0,7	59,20385	15	65,948
0,8	59,20748	20	68,084
1	59,21618	30	71,316
2	59,28848	40	75,176
3	59,40817	60	79,396
4	59,57407	80	82,452
5	59,78455	100	85,672
6	60,03761	125	88,4
7	60,33089	150	89,416
8	60,66175	--	--
9	61,02734	--	--
10	61,4246	--	--
11	61,8504	--	--
12	62,30153	--	--
13	62,77479	--	--
14	63,267	--	--
15	63,7751	--	--
16	64,29611	--	--
17	64,82722	--	--
18	65,36577	--	--
19	65,90929	--	--
20	66,45548	--	--
21	67,00226	--	--
22	67,54774	--	--
23	68,09019	--	--
24	68,62812	--	--
25	69,16018	--	--
26	69,68521	--	--
27	70,2022	--	--
28	70,71031	--	--
29	71,20881	--	--
30	71,69711	--	--
31	72,17475	--	--
32	72,64135	--	--
33	73,09665	--	--
34	73,54044	--	--
35	73,97261	--	--
36	74,39311	--	--
37	74,80194	--	--
38	75,19917	--	--
39	75,58488	--	--
40	75,95921	--	--
41	76,32233	--	--
42	76,67443	--	--
43	77,01571	--	--
44	77,34642	--	--
45	77,66679	--	--
46	77,97707	--	--
47	78,27753	--	--
48	78,56843	--	--
49	78,85005	--	--
50	79,12265	--	--
51	79,38651	--	--
52	79,6419	--	--
53	79,88908	--	--
54	80,12832	--	--
55	80,35989	--	--
56	80,58402	--	--
57	80,80098	--	--
58	81,01101	--	--
59	81,21435	--	--
60	81,41123	--	--
61	81,60187	--	--
62	81,78649	--	--
63	81,96531	--	--
64	82,13853	--	--
65	82,30635	--	--
66	82,46895	--	--
67	82,62654	--	--
68	82,77928	--	--
69	82,92735	--	--
70	83,07091	--	--
71	83,21013	--	--
72	83,34515	--	--
73	83,47614	--	--
73	83,47614	--	--
75	83,72656	--	--
76	83,84626	--	--
77	83,96246	--	--
78	84,07529	--	--
79	84,18486	--	--
80	84,29129	--	--
81	84,39468	--	--
82	84,49514	--	--
83	84,59278	--	--
84	84,68768	--	--
85	84,77995	--	--
86	84,86967	--	--
87	84,95693	--	--
88	85,04182	--	--
89	85,1244	--	--
90	85,20477	--	--
91	85,28299	--	--
92	85,35913	--	--
93	85,43327	--	--
94	85,50546	--	--
95	85,57578	--	--
96	85,64428	--	--
97	85,71103	--	--
98	85,77607	--	--
99	85,83947	--	--
100	85,90127	--	--
101	85,96153	--	--
102	86,02029	--	--
103	86,07761	--	--
104	86,13352	--	--
105	86,18807	--	--
106	86,2413	--	--
107	86,29326	--	--
108	86,34397	--	--
109	86,39348	--	--
110	86,44183	--	--
111	86,48905	--	--
112	86,53517	--	--
113	86,58023	--	--
114	86,62425	--	--
115	86,66727	--	--
116	86,70931	--	--
117	86,75041	--	--
118	86,79059	--	--
119	86,82988	--	--
120	86,8683	--	--
121	86,90588	--	--
122	86,94264	--	--
123	86,97861	--	--
124	87,0138	--	--
125	87,04824	--	--
126	87,08194	--	--
127	87,11494	--	--
128	87,14724	--	--
129	87,17887	--	--
130	87,20984	--	--
131	87,24017	--	--
132	87,26989	--	--
133	87,29899	--	--
134	87,32751	--	--
135	87,35546	--	--
136	87,38284	--	--
137	87,40969	--	--
138	87,436	--	--
139	87,46179	--	--
140	87,48708	--	--
141	87,51188	--	--
142	87,53621	--	--
143	87,56006	--	--
144	87,58346	--	--
145	87,60642	--	--
146	87,62894	--	--
147	87,65104	--	--
148	87,67273	--	--
149	87,69402	--	--
150	87,71491	--	--
151	87,73542	--	--
152	87,75556	--	--
153	87,77533	--	--
154	87,79475	--	--
155	87,81381	--	--
156	87,83254	--	--
157	87,85094	--	--
158	87,86901	--	--
159	87,88676	--	--
160	87,90421	--	--
161	87,92135	--	--
162	87,93819	--	--
163	87,95475	--	--
164	87,97102	--	--
165	87,98702	--	--
166	88,00275	--	--
167	88,01821	--	--
168	88,03341	--	--
169	88,04836	--	--
170	88,06307	--	--
171	88,07753	--	--
172	88,09175	--	--
173	88,10574	--	--
174	88,11951	--	--
175	88,13305	--	--
176	88,14638	--	--
177	88,15949	--	--
178	88,17239	--	--
179	88,18509	--	--
180	88,1976	--	--
181	88,2099	--	--
182	88,22201	--	--
183	88,23394	--	--
190	88,31246	--	--
200	88,41128	--	--
210	88,49688	--	--
220	88,57149	--	--
230	88,63691	--	--
240	88,69456	--	--
250	88,74564	--	--
260	88,79108	--	--
270	88,8317	--	--
280	88,86813	--	--
290	88,90095	--	--
300	88,9306	--	--
310	88,95748	--	--
320	88,98192	--	--
330	89,00421	--	--
340	89,0246	--	--
350	89,04328	--	--
360	89,06046	--	--
370	89,07628	--	--
380	89,09088	--	--
390	89,10438	--	--
400	89,1169	--	--
420	89,13933	--	--
440	89,1588	--	--
460	89,1758	--	--
480	89,19075	--	--
500	89,20395	--	--
550	89,23091	--	--
600	89,25145	--	--
650	89,26746	--	--
700	89,28017	--	--
750	89,29044	--	--
800	89,29884	--	--
850	89,30581	--	--
900	89,31166	--	--
1000	89,32083	--	--
