Frequency, mHz	complex dynamic surface elasticity |E|, mN/m	Frequency, mHz	Simulated curve, mN/m 
0,5	52,092	0,1	53,74976
0,7	53,028	0,2	53,75503
1	52,772	0,3	53,76381
3	56,232	0,5	53,79185
5	60,104	0,6	53,81109
7	61,988	0,7	53,83378
10	63,956	0,8	53,8599
15	66,66	1	53,92234
20	68,656	2	54,42891
30	71,456	3	55,22224
40	72,656	4	56,23776
60	75,564	5	57,4039
80	77,608	6	58,65262
100	75,128	7	59,92624
125	80,048	8	61,18031
150	74,924	9	62,38366
--	--	10	63,51654
--	--	11	64,5683
--	--	12	65,53491
--	--	13	66,41691
--	--	14	67,21774
--	--	15	67,94253
--	--	16	68,59724
--	--	17	69,18811
--	--	18	69,7213
--	--	19	70,20263
--	--	20	70,63754
--	--	21	71,03096
--	--	22	71,38736
--	--	23	71,71074
--	--	24	72,00466
--	--	25	72,27228
--	--	26	72,5164
--	--	27	72,73949
--	--	28	72,94374
--	--	29	73,13109
--	--	30	73,30325
--	--	31	73,46173
--	--	32	73,60787
--	--	33	73,74287
--	--	34	73,86778
--	--	35	73,98354
--	--	36	74,091
--	--	37	74,1909
--	--	38	74,2839
--	--	39	74,37062
--	--	40	74,45159
--	--	41	74,52728
--	--	42	74,59815
--	--	43	74,66457
--	--	44	74,72691
--	--	45	74,78548
--	--	46	74,84058
--	--	47	74,89246
--	--	48	74,94138
--	--	49	74,98754
--	--	50	75,03115
--	--	51	75,07239
--	--	52	75,11142
--	--	53	75,1484
--	--	54	75,18346
--	--	55	75,21674
--	--	56	75,24835
--	--	57	75,27839
--	--	58	75,30698
--	--	59	75,33419
--	--	60	75,36013
--	--	61	75,38485
--	--	62	75,40845
--	--	63	75,43098
--	--	64	75,4525
--	--	65	75,47308
--	--	66	75,49277
--	--	67	75,51162
--	--	68	75,52967
--	--	69	75,54698
--	--	70	75,56357
--	--	71	75,57949
--	--	72	75,59478
--	--	73	75,60946
--	--	73	75,60946
--	--	75	75,63714
--	--	76	75,65019
--	--	77	75,66275
--	--	78	75,67484
--	--	79	75,6865
--	--	80	75,69773
--	--	81	75,70855
--	--	82	75,719
--	--	83	75,72907
--	--	84	75,7388
--	--	85	75,7482
--	--	86	75,75728
--	--	87	75,76605
--	--	88	75,77454
--	--	89	75,78274
--	--	90	75,79068
--	--	91	75,79837
--	--	92	75,80581
--	--	93	75,81302
--	--	94	75,82
--	--	95	75,82677
--	--	96	75,83333
--	--	97	75,83969
--	--	98	75,84587
--	--	99	75,85186
--	--	100	75,85767
--	--	101	75,86332
--	--	102	75,8688
--	--	103	75,87413
--	--	104	75,87931
--	--	105	75,88434
--	--	106	75,88923
--	--	107	75,89399
--	--	108	75,89862
--	--	109	75,90312
--	--	110	75,9075
--	--	111	75,91177
--	--	112	75,91593
--	--	113	75,91997
--	--	114	75,92392
--	--	115	75,92776
--	--	116	75,9315
--	--	117	75,93515
--	--	118	75,93871
--	--	119	75,94218
--	--	120	75,94556
--	--	121	75,94886
--	--	122	75,95209
--	--	123	75,95523
--	--	124	75,9583
--	--	125	75,9613
--	--	126	75,96422
--	--	127	75,96708
--	--	128	75,96988
--	--	129	75,9726
--	--	130	75,97527
--	--	131	75,97788
--	--	132	75,98043
--	--	133	75,98292
--	--	134	75,98535
--	--	135	75,98774
--	--	136	75,99007
--	--	137	75,99235
--	--	138	75,99458
--	--	139	75,99676
--	--	140	75,9989
--	--	141	76,001
--	--	142	76,00305
--	--	143	76,00505
--	--	144	76,00702
--	--	145	76,00894
--	--	146	76,01083
--	--	147	76,01268
--	--	148	76,01449
--	--	149	76,01627
--	--	150	76,01801
--	--	151	76,01971
--	--	152	76,02138
--	--	153	76,02302
--	--	154	76,02463
--	--	155	76,02621
--	--	156	76,02776
--	--	157	76,02928
--	--	158	76,03077
--	--	159	76,03223
--	--	160	76,03366
--	--	161	76,03507
--	--	162	76,03646
--	--	163	76,03781
--	--	164	76,03915
--	--	165	76,04046
--	--	166	76,04174
--	--	167	76,043
--	--	168	76,04424
--	--	169	76,04546
--	--	170	76,04666
--	--	171	76,04784
--	--	172	76,04899
--	--	173	76,05013
--	--	174	76,05125
--	--	175	76,05234
--	--	176	76,05342
--	--	177	76,05448
--	--	178	76,05553
--	--	179	76,05655
--	--	180	76,05756
--	--	181	76,05855
--	--	182	76,05953
--	--	183	76,06049
--	--	190	76,0668
--	--	200	76,07469
--	--	210	76,08148
--	--	220	76,08738
--	--	230	76,09252
--	--	240	76,09704
--	--	250	76,10102
--	--	260	76,10456
--	--	270	76,10771
--	--	280	76,11053
--	--	290	76,11307
--	--	300	76,11536
--	--	310	76,11742
--	--	320	76,1193
--	--	330	76,12101
--	--	340	76,12258
--	--	350	76,12401
--	--	360	76,12532
--	--	370	76,12653
--	--	380	76,12764
--	--	390	76,12867
--	--	400	76,12963
--	--	420	76,13133
--	--	440	76,13281
--	--	460	76,1341
--	--	480	76,13524
--	--	500	76,13624
--	--	550	76,13828
--	--	600	76,13983
--	--	650	76,14104
--	--	700	76,142
--	--	750	76,14277
--	--	800	76,1434
--	--	850	76,14393
--	--	900	76,14437
--	--	1000	76,14506
