AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
3,3548E-4	0,00254	0,99996	0,0041	5,48491E-4	3,3548E-4	4,46827E-4	0,0041	0,00213
7,8781E-4	1,12755E-10	0,99995	0,00516	0,04071	4,35995E-4	5,8164E-4	0,0042	0,00218
0,00365	8,37957E-4	0,99982	0,00697	6,67376E-4	5,3651E-4	7,16888E-4	0,0043	0,00224
0,00486	4,86952E-4	0,99977	0,00923	0,00187	6,37025E-4	8,52571E-4	0,00439	0,00229
0,00727	9,3201E-4	0,99965	0,01119	0,00147	7,3754E-4	9,88692E-4	0,00449	0,00235
0,00878	0,00155	0,99959	0,01195	0,00257	7,8781E-4	0,00106	0,00459	0,00241
0,01029	5,73798E-4	0,99953	0,01406	0,00269	8,38055E-4	0,00113	0,00468	0,00246
0,013	0,00368	0,99936	0,01632	0,0027	9,3857E-4	0,00126	0,00478	0,00252
0,01451	0,00271	0,9993	0,01707	0,00907	0,00104	0,0014	0,00488	0,00258
0,01572	0,00553	0,99926	0,01964	0,01385	0,00114	0,00154	0,00497	0,00263
0,01722	0,00744	0,9992	0,02099	0,02122	0,00124	0,00168	0,00507	0,00269
0,01948	0,01222	0,99906	0,0225	0,01395	0,00134	0,00181	0,00516	0,00274
0,02129	0,02015	0,99898	0,02461	0,00993	0,00144	0,00195	0,00516	0,00275
0,0228	0,01619	0,9989	0,02672	0,02713	0,00154	0,00209	0,00526	0,0028
0,02476	0,03091	0,99881	0,02778	0,01295	0,00164	0,00223	0,00536	0,00286
0,02582	0,02055	0,99877	0,03004	0,05949	0,00174	0,00237	0,00545	0,00292
0,02853	0,03843	0,9986	0,03094	0,0217	0,00184	0,00252	0,00555	0,00298
0,03004	0,05256	0,99854	0,03366	0,05438	0,00194	0,00266	0,00565	0,00304
0,03094	0,09476	0,9985	0,03501	0,05668	0,00204	0,0028	0,00574	0,0031
0,03305	0,04034	0,99838	0,03682	0,06921	0,00214	0,00294	0,00584	0,00316
0,03517	0,04257	0,99827	0,03848	0,08739	0,00225	0,00308	0,00593	0,00322
0,03592	0,02866	0,99825	0,04014	5,04734E-11	0,00235	0,00323	0,00603	0,00327
0,03893	0,03907	0,99804	0,04195	0,08234	0,00245	0,00337	0,00613	0,00333
0,04074	0,08035	0,99795	0,04361	0,09122	0,00255	0,00352	0,00622	0,00339
0,04225	0,10008	0,99788	0,04557	0,10291	0,00265	0,00366	0,00632	0,00346
0,04316	0,09508	0,99784	0,04738	0,11836	0,00275	0,00381	0,00642	0,00352
0,04572	0,12131	0,99767	0,04904	0,11719	0,00285	0,00395	0,00651	0,00358
0,04708	0,10377	0,99759	0,051	0,12637	0,00295	0,0041	0,00661	0,00364
