AlphA. deg.	Ni Ka XRF, A.u. curve 2	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
0,00176	0,00124	0,99989	0,00176	5,95338E-4	0,00176	0,00212	0,00176	6,34781E-4
0,0035	7,44207E-4	0,99985	0,0035	3,43595E-10	0,00185	0,00223	0,00185	6,70579E-4
0,00526	1,95222E-5	0,99979	0,00526	4,27877E-4	0,00194	0,00235	0,00195	7,06554E-4
0,007	5,38895E-10	0,99972	0,007	1,38794E-4	0,00203	0,00246	0,00204	7,42708E-4
0,00876	7,21307E-4	0,99964	0,00876	6,41371E-4	0,00212	0,00257	0,00214	7,79041E-4
0,0105	3,34896E-4	0,99957	0,0105	0,00306	0,00221	0,00269	0,00223	8,15554E-4
0,01226	7,49197E-5	0,9995	0,01226	0,00487	0,0023	0,0028	0,00233	8,52248E-4
0,014	0,00172	0,99943	0,014	0,00467	0,00239	0,00291	0,00242	8,89124E-4
0,01576	0,00314	0,99935	0,01576	0,00812	0,00247	0,00303	0,00252	9,26182E-4
0,0175	0,00625	0,99928	0,0175	0,00954	0,00256	0,00314	0,00261	9,63424E-4
0,01926	0,01176	0,99921	0,01926	0,00903	0,00265	0,00326	0,00271	0,001
0,021	0,01026	0,99913	0,021	0,01231	0,00274	0,00337	0,0028	0,00104
0,02276	0,01171	0,99906	0,02276	0,01448	0,00283	0,00349	0,0029	0,00108
0,0245	0,01819	0,99898	0,0245	0,01537	0,00292	0,00361	0,00299	0,00111
0,02626	0,02078	0,9989	0,02626	0,01358	0,00301	0,00372	0,00308	0,00115
0,028	0,02621	0,99883	0,028	0,02017	0,0031	0,00384	0,00318	0,00119
0,02976	0,03025	0,99875	0,02976	0,02396	0,00319	0,00396	0,00327	0,00123
0,0315	0,03684	0,99867	0,0315	0,02457	0,00328	0,00408	0,00337	0,00127
0,03326	0,03186	0,99859	0,03326	0,0246	0,00337	0,00419	0,00346	0,00131
0,035	0,03116	0,9985	0,035	0,04201	0,00346	0,00431	0,0035	0,00132
0,03676	0,06177	0,99842	0,03676	0,04678	0,0035	0,00437	0,00356	0,00135
0,0385	0,06828	0,99834	0,0385	0,04392	0,00355	0,00443	0,00365	0,00139
0,04026	0,0792	0,99825	0,04026	0,04433	0,00364	0,00455	0,00375	0,00142
0,042	0,09977	0,99816	0,042	0,05545	0,00373	0,00467	0,00384	0,00146
0,04376	0,12613	0,99807	0,04376	0,06674	0,00381	0,00479	0,00394	0,0015
0,0455	0,14192	0,99797	0,0455	0,06116	0,0039	0,00491	0,00403	0,00154
0,04726	0,12861	0,99788	0,04726	0,0768	0,00399	0,00504	0,00412	0,00159
0,049	0,15521	0,99778	0,049	0,08909	0,00408	0,00516	0,00422	0,00163
0,05076	0,18647	0,99768	0,05076	0,09157	0,00417	0,00528	0,00431	0,00167
0,0525	0,18837	0,99757	0,0525	0,10722	0,00426	0,0054	0,00441	0,00171
0,05426	0,2115	0,99746	0,05426	0,12146	0,00435	0,00553	0,0045	0,00175
0,056	0,24674	0,99735	0,056	0,13323	0,00444	0,00565	0,0046	0,00179
0,05776	0,26784	0,99723	0,05776	0,13725	0,00453	0,00577	0,00469	0,00183
0,0595	0,27783	0,99711	0,0595	0,15942	0,00462	0,0059	0,00479	0,00187
0,06126	0,30869	0,99698	0,06126	0,17261	0,00471	0,00602	0,00488	0,00191
0,063	0,35439	0,99685	0,063	0,18339	0,0048	0,00615	0,00498	0,00196
0,06476	0,38383	0,99671	0,06476	0,19906	0,00489	0,00627	0,00507	0,002
0,0665	0,37922	0,99656	0,0665	0,21761	0,00498	0,0064	0,00517	0,00204
0,06826	0,4165	0,9964	0,06826	0,24238	0,00507	0,00653	0,00526	0,00208
0,07	0,47552	0,99622	0,07	0,26899	0,00515	0,00665	0,00535	0,00213
0,07176	0,49308	0,99604	0,07176	0,29812	0,00524	0,00678	0,00545	0,00217
0,0735	0,51202	0,99584	0,0735	0,31235	0,00526	0,0068	0,00554	0,00221
0,07526	0,52717	0,99561	0,07526	0,33197	0,00533	0,00691	0,00564	0,00226
0,077	0,57208	0,99536	0,077	0,37334	0,00542	0,00704	0,00573	0,0023
0,07876	0,65509	0,99508	0,07876	0,41059	0,00551	0,00717	0,00583	0,00235
0,0805	0,69184	0,99476	0,0805	0,45462	0,0056	0,00729	0,00592	0,00239
0,08226	0,72684	0,99438	0,08226	0,50464	0,00569	0,00742	0,00602	0,00243
0,084	0,77921	0,99392	0,084	0,58109	0,00578	0,00755	0,00611	0,00248
0,08576	0,78631	0,99333	0,08576	0,57975	0,00587	0,00769	0,00621	0,00252
