AlphA. deg.	Ni Ka XRF, A.u. curve 2	AlphA. deg.	Total external reflection, A.u.	AlphA. deg.	Ni Ka XRF, A.u. curve 4	AlphA. deg.	Exponential fitting curve 3	AlphA. deg.	Exponential fitting curve 5
--	--	0,00176	0,99989	0,00176	5,95338E-4	0,005	0,01222	0,00176	6,34781E-4
0,005	0,00483	0,0035	0,99985	0,0035	3,43595E-10	0,00508	0,01244	0,00185	6,70579E-4
0,00674	0,00483	0,00526	0,99979	0,00526	4,27877E-4	0,00517	0,01267	0,00195	7,06554E-4
0,0085	0,00471	0,007	0,99972	0,007	1,38794E-4	0,00525	0,01289	0,00204	7,42708E-4
0,01024	0,00393	0,00876	0,99964	0,00876	6,41371E-4	0,00534	0,01311	0,00214	7,79041E-4
0,012	0,0064	0,0105	0,99957	0,0105	0,00306	0,00542	0,01334	0,00223	8,15554E-4
0,01374	0,00561	0,01226	0,9995	0,01226	0,00487	0,0055	0,01356	0,00233	8,52248E-4
0,0155	0,00786	0,014	0,99943	0,014	0,00467	0,00559	0,01378	0,00242	8,89124E-4
0,01724	0,00718	0,01576	0,99935	0,01576	0,00812	0,00567	0,01401	0,00252	9,26182E-4
0,019	0,01111	0,0175	0,99928	0,0175	0,00954	0,00576	0,01424	0,00261	9,63424E-4
0,02074	0,00965	0,01926	0,99921	0,01926	0,00903	0,00584	0,01446	0,00271	0,001
0,0225	0,01392	0,021	0,99913	0,021	0,01231	0,00592	0,01469	0,0028	0,00104
0,02424	0,02031	0,02276	0,99906	0,02276	0,01448	0,00601	0,01492	0,0029	0,00108
0,026	0,01605	0,0245	0,99898	0,0245	0,01537	0,00609	0,01515	0,00299	0,00111
0,02774	0,02458	0,02626	0,9989	0,02626	0,01358	0,00618	0,01537	0,00308	0,00115
0,0295	0,03591	0,028	0,99883	0,028	0,02017	0,00626	0,0156	0,00318	0,00119
0,03124	0,05589	0,02976	0,99875	0,02976	0,02396	0,00635	0,01583	0,00327	0,00123
0,033	0,03378	0,0315	0,99867	0,0315	0,02457	0,00643	0,01606	0,00337	0,00127
0,03474	0,06218	0,03326	0,99859	0,03326	0,0246	0,00651	0,0163	0,00346	0,00131
0,0365	0,09865	0,035	0,9985	0,035	0,04201	0,0066	0,01653	0,0035	0,00132
0,03824	0,06431	0,03676	0,99842	0,03676	0,04678	0,00668	0,01676	0,00356	0,00135
0,04	0,12189	0,0385	0,99834	0,0385	0,04392	0,00674	0,01692	0,00365	0,00139
0,04174	0,15286	0,04026	0,99825	0,04026	0,04433	0,00677	0,01699	0,00375	0,00142
0,0435	0,18272	0,042	0,99816	0,042	0,05545	0,00685	0,01723	0,00384	0,00146
0,04526	0,18002	0,04376	0,99807	0,04376	0,06674	0,00693	0,01746	0,00394	0,0015
0,047	0,21919	0,0455	0,99797	0,0455	0,06116	0,00702	0,01769	0,00403	0,00154
0,04874	0,27868	0,04726	0,99788	0,04726	0,0768	0,0071	0,01793	0,00412	0,00159
0,0505	0,34691	0,049	0,99778	0,049	0,08909	0,00719	0,01817	0,00422	0,00163
0,05224	0,31998	0,05076	0,99768	0,05076	0,09157	0,00727	0,0184	0,00431	0,00167
0,054	0,35668	0,0525	0,99757	0,0525	0,10722	0,00735	0,01864	0,00441	0,00171
0,05576	0,42817	0,05426	0,99746	0,05426	0,12146	0,00744	0,01888	0,0045	0,00175
0,0575	0,38709	0,056	0,99735	0,056	0,13323	0,00752	0,01911	0,0046	0,00179
0,05924	0,42694	0,05776	0,99723	0,05776	0,13725	0,00761	0,01935	0,00469	0,00183
0,061	0,51178	0,0595	0,99711	0,0595	0,15942	0,00769	0,01959	0,00479	0,00187
0,06276	0,56611	0,06126	0,99698	0,06126	0,17261	0,00777	0,01983	0,00488	0,00191
0,0645	0,52065	0,063	0,99685	0,063	0,18339	0,00786	0,02007	0,00498	0,00196
0,06624	0,60079	0,06476	0,99671	0,06476	0,19906	0,00794	0,02031	0,00507	0,002
0,068	0,65095	0,0665	0,99656	0,0665	0,21761	0,00803	0,02056	0,00517	0,00204
0,06976	0,6376	0,06826	0,9964	0,06826	0,24238	0,00811	0,0208	0,00526	0,00208
0,0715	0,68462	0,07	0,99622	0,07	0,26899	0,0082	0,02104	0,00535	0,00213
0,07324	0,73603	0,07176	0,99604	0,07176	0,29812	0,00828	0,02128	0,00545	0,00217
0,075	0,76992	0,0735	0,99584	0,0735	0,31235	0,00836	0,02153	0,00554	0,00221
0,07676	0,79966	0,07526	0,99561	0,07526	0,33197	0,00845	0,02177	0,00564	0,00226
0,0785	0,83659	0,077	0,99536	0,077	0,37334	0,0085	0,02193	0,00573	0,0023
0,08026	0,85185	0,07876	0,99508	0,07876	0,41059	0,00853	0,02202	0,00583	0,00235
0,082	0,86992	0,0805	0,99476	0,0805	0,45462	0,00862	0,02227	0,00592	0,00239
0,08376	0,93176	0,08226	0,99438	0,08226	0,50464	0,0087	0,02251	0,00602	0,00243
0,0855	0,92222	0,084	0,99392	0,084	0,58109	0,00878	0,02276	0,00611	0,00248
0,08726	0,96902	0,08576	0,99333	0,08576	0,57975	0,00887	0,02301	0,00621	0,00252
0,089	1	0,0875	0,99254	0,0875	0,66698	0,00895	0,02326	0,0063	0,00257
0,09076	0,9853	0,08926	0,99111	0,08926	0,78644	0,00904	0,0235	0,0064	0,00261
0,0925	0,98923	0,091	0,98518	0,091	0,88538	0,00912	0,02375	0,00649	0,00266
0,09426	0,91549	0,09276	0,94736	0,09276	0,90803	0,0092	0,024	0,00658	0,00271
0,096	0,87643	0,0945	0,80731	0,0945	0,99635	0,00929	0,02426	0,00668	0,00275
0,09776	0,84691	0,09626	0,56736	0,09626	1	0,00937	0,02451	0,00677	0,0028
0,0995	0,76801	0,098	0,38086	0,098	0,96454	0,00946	0,02476	0,00687	0,00284
0,10126	0,72514	0,09976	0,28236	0,09976	0,94123	0,00954	0,02501	0,00696	0,00289
0,103	0,67003	0,1015	0,22682	0,1015	0,91659	0,00962	0,02527	0,007	0,00291
0,10476	0,63053	0,10326	0,18828	0,10326	0,85271	0,00971	0,02552	0,00706	0,00294
0,1065	0,54523	0,105	0,15999	0,105	0,78777	0,00979	0,02577	0,00715	0,00299
0,10826	0,54994	0,10676	0,13776	0,10676	0,75045	0,00988	0,02603	0,00725	0,00303
0,11	0,51156	0,1085	0,12023	0,1085	0,70137	0,00996	0,02629	0,00734	0,00308
0,11176	0,46083	0,11026	0,10574	0,11026	0,67953	0,01005	0,02654	0,00744	0,00313
0,1135	0,43266	0,112	0,09388	0,112	0,64748	0,01013	0,0268	0,00753	0,00318
0,11526	0,4486	0,11376	0,08377	0,11376	0,63062	0,01021	0,02706	0,00762	0,00323
0,117	0,41178	0,1155	0,07528	0,1155	0,62991	0,01024	0,02714	0,00772	0,00327
0,11876	0,39237	0,11726	0,0679	0,11726	0,62871	0,0103	0,02732	0,00781	0,00332
0,1205	0,39068	0,119	0,0616	0,119	0,61947	0,01038	0,02758	0,00791	0,00337
--	--	0,12076	0,05603	0,12076	0,64679	0,01047	0,02784	0,008	0,00342
--	--	--	--	--	--	0,01055	0,0281	0,0081	0,00347
--	--	--	--	--	--	0,01063	0,02836	0,00819	0,00352
--	--	--	--	--	--	0,01072	0,02862	0,00829	0,00357
